date,symbol,name,amount,price
2020-01-07,512000,券商ETF,993000,0.99
2020-01-08,512980,传媒ETF,1066000,0.921
2020-01-09,512000,券商ETF,996600,0.983
2020-01-10,512980,传媒ETF,1075100,0.913
2020-01-14,510410,资源ETF,1514500,0.66
2020-01-15,512580,环保ETF,1173000,0.84
2020-01-16,512980,传媒ETF,1076600,0.911
2020-01-20,512400,有色ETF,1291900,0.757
2020-01-21,512480,半导体,563200,1.739
2020-02-03,159966,创业板价值ETF华夏,731300,1.242
2020-02-06,518880,黄金ETF,257900,3.44
2020-02-13,513100,纳指ETF,240700,4.082
2020-02-20,512170,医疗ETF,680800,1.491
2020-02-21,515070,AI智能,805500,1.328
2020-02-24,159949,创业板50ETF华安,1279300,0.839
2020-02-26,159915,创业板ETF易方达,495400,2.147
2020-02-28,512670,国防ETF,831500,1.176
2020-03-02,518880,黄金ETF,267700,3.535
2020-03-03,511880,银华日利,9400,100.56
2020-03-06,159985,豆粕ETF华夏,977500,0.963
2020-03-09,515050,5GETF,761400,1.19
2020-03-10,512170,医疗ETF,570800,1.569
2020-03-11,511880,银华日利,8900,100.607
2020-03-12,518880,黄金ETF,246000,3.606
2020-03-18,511880,银华日利,8800,100.65
2020-03-19,159985,豆粕ETF华夏,916400,0.949
2020-03-20,511880,银华日利,8600,100.675
2020-03-23,159985,豆粕ETF华夏,890800,1.013
2020-03-25,511880,银华日利,8900,100.684
2020-04-01,159985,豆粕ETF华夏,871400,1.004
2020-04-03,511880,银华日利,8600,100.738
2020-04-07,159985,豆粕ETF华夏,892500,0.978
2020-04-14,511880,银华日利,8600,100.792
2020-04-20,512290,生物医药,595400,1.547
2020-04-21,512010,医药ETF,440200,2.054
2020-04-27,512170,医疗ETF,569900,1.609
2020-04-30,513100,纳指ETF,257900,3.83
2020-05-06,512290,生物医药,662800,1.51
2020-05-07,512690,酒ETF,840200,1.206
2020-05-11,159967,创业板成长ETF华夏,685400,1.481
2020-05-15,512690,酒ETF,827200,1.255
2020-05-20,513100,纳指ETF,285500,3.725
2020-05-21,512690,酒ETF,822400,1.31
2020-05-22,513100,纳指ETF,287000,3.629
2020-06-01,161226,国投白银LOF,1313500,0.866
2020-06-02,513520,日经ETF,1068900,1.083
2020-06-03,512690,酒ETF,865600,1.329
2020-06-04,513030,德国ETF,1128800,1.049
2020-06-09,161226,国投白银LOF,1421200,0.825
2020-06-12,513000,225ETF,1054200,1.086
2020-06-16,513520,日经ETF,1061800,1.09
2020-06-19,513030,德国ETF,1116900,1.031
2020-06-23,512290,生物医药,621000,1.896
2020-06-29,159806,新能源车ETF国泰,975300,1.197
2020-06-30,513050,中概互联,640200,1.846
2020-07-01,159967,创业板成长ETF华夏,668700,1.746
2020-07-03,515000,科技ETF,704900,1.671
2020-07-06,159991,创业板大盘ETF招商,937700,1.3
2020-07-07,512690,酒ETF,758400,1.697
2020-07-08,512220,TMTETF,671600,1.902
2020-07-09,512290,生物医药,657200,2.034
2020-07-10,159804,创中盘88ETF国寿,1039400,1.29
2020-07-13,515570,山证红利,1185200,1.158
2020-07-14,512890,红利低波,1041900,1.309
2020-07-16,515110,国企方达,1339500,1.005
2020-07-17,515690,股息ETF,1166300,1.128
2020-07-21,161226,国投白银LOF,1524200,0.911
2020-07-22,159980,有色ETF大成,1354400,1.04
2020-07-23,161226,国投白银LOF,1408300,0.99
2020-07-24,512580,环保ETF,1452000,0.937
2020-07-27,161226,国投白银LOF,1381000,1.046
2020-07-29,513030,德国ETF,1312900,1.098
2020-07-30,159980,有色ETF大成,1381900,1.053
2020-08-07,512010,医药ETF,485700,2.922
2020-08-10,518880,黄金ETF,323400,4.338
2020-08-11,159992,创新药ETF银华,918100,1.536
2020-08-12,512290,生物医药,599200,2.179
2020-08-13,513030,德国ETF,1180400,1.122
2020-08-14,511880,银华日利,13000,101.314
2020-08-18,513500,标普500,598500,2.214
2020-08-20,159996,家电ETF国泰,1044000,1.238
2020-08-24,513100,纳指ETF,315800,4.391
2020-08-25,513500,标普500,624900,2.268
2020-08-26,513100,纳指ETF,313000,4.515
2020-08-27,512040,国信价值,934100,1.506
2020-08-28,513100,纳指ETF,300800,4.861
2020-09-02,513500,标普500,630700,2.315
2020-09-04,512690,酒ETF,747100,1.907
2020-09-09,159980,有色ETF大成,1325100,1.072
2020-09-14,159985,豆粕ETF华夏,1364300,1.091
2020-09-15,513030,德国ETF,1318100,1.127
2020-09-17,513100,纳指ETF,311100,4.659
2020-09-25,159985,豆粕ETF华夏,1353100,1.073
2020-09-28,511880,银华日利,14200,101.538
2020-10-12,513520,日经ETF,1313400,1.106
2020-10-13,159985,豆粕ETF华夏,1267300,1.127
2020-10-14,511880,银华日利,14000,101.626
2020-10-23,159806,新能源车ETF国泰,929400,1.524
2020-10-27,159985,豆粕ETF华夏,1242300,1.135
2020-10-28,511880,银华日利,13800,101.698
2020-10-29,159980,有色ETF大成,1319600,1.066
2020-10-30,511880,银华日利,13800,101.726
2020-11-02,159806,新能源车ETF国泰,866000,1.628
2020-11-03,511880,银华日利,13800,101.747
2020-11-04,159980,有色ETF大成,1316900,1.068
2020-11-05,515700,新能车,868500,1.717
2020-11-09,512690,酒ETF,698000,2.123
2020-11-16,159996,家电ETF国泰,1041200,1.398
2020-11-23,513520,日经ETF,1216800,1.195
2020-11-24,512690,酒ETF,641000,2.265
2020-11-25,510410,资源ETF,1969600,0.739
2020-11-26,515220,煤炭ETF,1114300,1.288
2020-12-02,513520,日经ETF,1171300,1.244
2020-12-04,515220,煤炭ETF,1107900,1.267
2020-12-08,510410,资源ETF,1925100,0.723
2020-12-09,159981,能源化工ETF建信,1439000,0.982
2020-12-10,512670,国防ETF,797300,1.752
2020-12-11,513520,日经ETF,1126300,1.235
2020-12-14,513030,德国ETF,1263100,1.092
2020-12-18,159980,有色ETF大成,1173700,1.206
2020-12-22,159981,能源化工ETF建信,1370000,1.035
2020-12-23,512690,酒ETF,542700,2.612
2020-12-24,159967,创业板成长ETF华夏,2275100,0.617
2020-12-25,512690,酒ETF,557300,2.495
2020-12-28,515030,新汽车,864100,1.628
2020-12-29,512690,酒ETF,544300,2.568
2020-12-31,512010,医药ETF,477900,2.952
2021-01-04,159967,创业板成长ETF华夏,2204000,0.677
2021-01-05,512770,战略新兴,683400,2.225
2021-01-08,159814,创业大盘ETF西部利得,1236000,1.251
2021-01-11,512010,医药ETF,491800,3.148
2021-01-12,159928,消费ETF汇添富,279400,5.546
2021-01-13,159985,豆粕ETF华夏,1172900,1.383
2021-01-15,159915,创业板ETF易方达,533100,2.928
2021-01-18,159991,创业板大盘ETF招商,930100,1.757
2021-01-19,501018,南方原油,2687300,0.611
2021-01-20,159949,创业板50ETF华安,1235200,1.353
2021-01-22,501018,南方原油,2695100,0.611
2021-01-25,159991,创业板大盘ETF招商,885100,1.929
2021-01-26,159822,新经济ETF银华,1401500,1.199
2021-01-27,159995,芯片ETF华夏,1243600,1.354
2021-01-29,512770,战略新兴,700500,2.322
2021-02-02,511880,银华日利,16200,100.32
2021-02-03,513100,纳指ETF,367900,4.482
2021-02-04,501018,南方原油,2600500,0.641
2021-02-08,513100,纳指ETF,375100,4.543
2021-02-09,501018,南方原油,2601700,0.665
2021-02-18,513050,中概互联,702900,2.592
2021-02-22,159822,新经济ETF银华,1434300,1.246
2021-02-23,501018,南方原油,2612200,0.71
2021-02-24,159825,农业ETF富国,1564800,1.162
2021-02-26,501018,南方原油,2604500,0.712
2021-03-02,159980,有色ETF大成,1398200,1.274
2021-03-04,513500,标普500,752100,2.324
2021-03-10,511880,银华日利,17300,100.551
2021-03-18,501018,南方原油,2396600,0.742
2021-03-19,513030,德国ETF,1499100,1.186
2021-03-22,515210,钢铁ETF,1191400,1.5
2021-03-23,159980,有色ETF大成,1401400,1.269
2021-03-26,511880,银华日利,17600,100.648
2021-04-08,513030,德国ETF,1509100,1.232
2021-04-09,513500,标普500,732900,2.544
2021-04-12,513090,香港证券,1477200,1.25
2021-04-20,513100,纳指ETF,399000,4.637
2021-04-29,512690,酒ETF,710300,2.664
2021-05-06,159967,创业板成长ETF华夏,2722400,0.691
2021-05-07,159949,创业板50ETF华安,1449000,1.276
2021-05-10,159980,有色ETF大成,1320400,1.434
2021-05-12,161226,国投白银LOF,2048800,0.914
2021-05-14,159980,有色ETF大成,1319400,1.374
2021-05-17,518880,黄金ETF,487400,3.781
2021-05-27,516080,创新医药,1703100,1.05
2021-05-31,512690,酒ETF,1217100,1.472
2021-06-02,515700,新能车,749400,2.361
2021-06-03,515030,新汽车,952700,1.878
2021-06-04,512670,国防ETF,1014600,1.757
2021-06-07,501018,南方原油,2282200,0.786
2021-06-08,512690,酒ETF,1171400,1.46
2021-06-11,501018,南方原油,2197800,0.794
2021-06-15,159995,芯片ETF华夏,1305900,1.356
2021-06-16,513520,日经ETF,1407400,1.252
2021-06-18,501018,南方原油,2153600,0.8
2021-06-21,513520,日经ETF,1379100,1.212
2021-06-25,501018,南方原油,2050600,0.837
2021-06-29,159804,创中盘88ETF国寿,1089511,1.266
2021-06-30,516590,电动汽车,1350200,1.33
2021-07-01,515790,光伏ETF,1329900,1.33
2021-07-02,516590,电动汽车,1336700,1.308
2021-07-05,159885,碳中和ETF鹏华,1318300,1.311
2021-07-07,501018,南方原油,2042500,0.839
2021-07-09,513100,纳指ETF,348400,4.879
2021-07-12,513500,标普500,642400,2.67
2021-07-13,513100,纳指ETF,347500,4.945
2021-07-15,516960,机械ETF,1434300,1.206
2021-07-16,516800,智能制造ETF,1476900,1.182
2021-07-19,516960,机械ETF,1449600,1.176
2021-07-20,159980,有色ETF大成,1233300,1.363
2021-07-21,518880,黄金ETF,452800,3.685
2021-07-22,159985,豆粕ETF华夏,1268800,1.299
2021-07-23,510410,资源ETF,1630000,1.017
2021-07-26,159885,碳中和ETF鹏华,1118300,1.447
2021-08-03,159980,有色ETF大成,1145800,1.403
