date,symbol,exchange,name
2020-01-02,512000,XSHG,券商ETF
2020-01-03,512000,XSHG,券商ETF
2020-01-06,512000,XSHG,券商ETF
2020-01-07,512980,XSHG,传媒ETF
2020-01-08,512000,XSHG,券商ETF
2020-01-09,512980,XSHG,传媒ETF
2020-01-10,510410,XSHG,资源ETF
2020-01-13,510410,XSHG,资源ETF
2020-01-14,512580,XSHG,环保ETF
2020-01-15,512980,XSHG,传媒ETF
2020-01-16,512400,XSHG,有色ETF
2020-01-17,512400,XSHG,有色ETF
2020-01-20,512480,XSHG,半导体
2020-01-21,159966,XSHE,创业板价值ETF华夏
2020-01-22,159966,XSHE,创业板价值ETF华夏
2020-01-23,159966,XSHE,创业板价值ETF华夏
2020-02-03,518880,XSHG,黄金ETF
2020-02-04,518880,XSHG,黄金ETF
2020-02-05,518880,XSHG,黄金ETF
2020-02-06,513100,XSHG,纳指ETF
2020-02-07,513100,XSHG,纳指ETF
2020-02-10,513100,XSHG,纳指ETF
2020-02-11,513100,XSHG,纳指ETF
2020-02-12,513100,XSHG,纳指ETF
2020-02-13,512170,XSHG,医疗ETF
2020-02-14,512170,XSHG,医疗ETF
2020-02-17,512170,XSHG,医疗ETF
2020-02-18,512170,XSHG,医疗ETF
2020-02-19,512170,XSHG,医疗ETF
2020-02-20,515070,XSHG,AI智能
2020-02-21,159949,XSHE,创业板50ETF华安
2020-02-24,159915,XSHE,创业板ETF易方达
2020-02-25,159915,XSHE,创业板ETF易方达
2020-02-26,512670,XSHG,国防ETF
2020-02-27,512670,XSHG,国防ETF
2020-02-28,518880,XSHG,黄金ETF
2020-03-03,159985,XSHE,豆粕ETF华夏
2020-03-04,159985,XSHE,豆粕ETF华夏
2020-03-05,159985,XSHE,豆粕ETF华夏
2020-03-06,515050,XSHG,5GETF
2020-03-09,512170,XSHG,医疗ETF
2020-03-11,518880,XSHG,黄金ETF
2020-03-18,159985,XSHE,豆粕ETF华夏
2020-03-20,159985,XSHE,豆粕ETF华夏
2020-03-25,159985,XSHE,豆粕ETF华夏
