trade_date,jq_symbol,local_target,target_match,jq_in_dynamic_pool,jq_dynamic_rank,jq_industry_key,jq_avg_amount,jq_in_candidates,jq_candidate_rank,jq_candidate_score,reason
2020-01-02,512400,512400,True,True,16.0,有色,68525994.33333333,True,1.0,3.7045799863462943,matched_target
2020-01-03,512400,512400,True,True,16.0,有色,75640868.66666667,True,1.0,4.535504499467588,matched_target
2020-01-06,512880,512980,False,True,5.0,证券,1325792606.0,True,3.0,3.6714665275454386,in_candidates_not_top
2020-01-07,512980,512980,True,True,11.0,传媒,137505668.66666666,True,1.0,4.526429972586227,matched_target
2020-01-08,512880,512980,False,True,5.0,证券,1484647888.3333333,False,,,in_dynamic_pool_not_candidate
2020-01-09,512980,510410,False,True,12.0,传媒,150612782.0,False,,,in_dynamic_pool_not_candidate
2020-01-10,512100,510410,False,False,,,,False,,,not_in_local_dynamic_pool
2020-01-13,512100,512580,False,False,,,,False,,,not_in_local_dynamic_pool
2020-01-14,512100,510410,False,False,,,,False,,,not_in_local_dynamic_pool
2020-01-15,512980,512980,True,True,20.0,传媒,57166584.0,True,1.0,4.987458313767517,matched_target
2020-01-16,512400,512400,True,True,20.0,有色,65117135.0,True,1.0,4.85376598264491,matched_target
2020-01-17,512400,512400,True,True,26.0,有色,39497970.333333336,True,1.0,3.8538087016592635,matched_target
2020-01-20,512480,512400,False,True,12.0,半导,131359733.66666667,False,,,in_dynamic_pool_not_candidate
2020-01-21,159915,515000,False,False,,,,False,,,not_in_local_dynamic_pool
2020-01-22,515050,515000,False,True,12.0,通信,216147554.36076078,False,,,in_dynamic_pool_not_candidate
2020-01-23,159949,512930,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-03,518880,518880,True,True,6.0,金,1113594495.3333333,True,1.0,0.14873657252804295,matched_target
2020-02-04,518880,518880,True,True,6.0,金,1095972641.3333333,True,1.0,0.15470068780760116,matched_target
2020-02-05,518880,518880,True,True,5.0,金,1255941055.0,True,1.0,0.13643068571507022,matched_target
2020-02-06,513100,518880,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-07,513100,518880,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-10,513100,518880,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-11,513100,159966,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-12,513100,512290,False,False,,,,False,,,not_in_local_dynamic_pool
2020-02-13,512170,512290,False,True,23.0,医疗,63807005.666666664,False,,,in_dynamic_pool_not_candidate
2020-02-14,512170,512290,False,True,24.0,医疗,54483749.0,False,,,in_dynamic_pool_not_candidate
2020-02-17,512170,512290,False,True,24.0,医疗,50606182.333333336,False,,,in_dynamic_pool_not_candidate
2020-02-18,512170,159949,False,True,25.0,医疗,48689210.333333336,False,,,in_dynamic_pool_not_candidate
2020-02-19,512170,159949,False,True,27.0,医疗,50904623.0,False,,,in_dynamic_pool_not_candidate
2020-02-20,159949,512930,False,False,,,,True,3.0,3.84956455556995,in_candidates_not_top
2020-02-21,159949,159949,True,False,,,,True,1.0,4.42558418896183,matched_target
2020-02-24,159915,159966,False,False,,,,True,2.0,3.9734742991257845,in_candidates_not_top
2020-02-25,159915,159915,True,False,,,,True,1.0,4.87663960052715,matched_target
2020-02-26,159967,512660,False,True,44.0,创业组_成长,7746340.830963664,False,,,in_dynamic_pool_not_candidate
2020-02-27,512670,512660,False,True,40.0,国防,9911923.666666666,False,,,in_dynamic_pool_not_candidate
2020-02-28,518880,518880,True,True,5.0,金,2299493057.6666665,True,1.0,1.0640936773282057,matched_target
2020-03-02,511880,511880,True,True,2.0,日利,7233832842.666667,False,,,matched_target
2020-03-03,159985,159985,True,True,34.0,豆粕,33147147.333333332,True,1.0,0.00194238462328329,matched_target
2020-03-04,159985,159985,True,True,35.0,豆粕,36043432.0,True,1.0,0.015202683747591459,matched_target
2020-03-05,159985,159985,True,True,38.0,豆粕,23482359.666666668,True,1.0,0.05972803933165542,matched_target
2020-03-06,515050,515050,True,True,7.0,通信,1081196339.7621617,True,1.0,4.772271640384091,matched_target
2020-03-09,512170,512950,False,True,14.0,医疗,174592761.33333334,False,,,in_dynamic_pool_not_candidate
2020-03-10,511880,159985,False,True,1.0,日利,9543642946.666666,False,,,in_dynamic_pool_not_candidate
2020-03-11,518880,518880,True,True,5.0,金,2228502832.6666665,True,1.0,0.37407474494592796,matched_target
2020-03-12,511880,511880,True,True,2.0,日利,9607861409.333334,False,,,matched_target
2020-03-13,511880,511880,True,True,2.0,日利,8882161761.0,False,,,matched_target
2020-03-16,159985,511880,False,True,33.0,豆粕,32576261.666666668,False,,,in_dynamic_pool_not_candidate
2020-03-17,159985,159985,True,True,30.0,豆粕,40144104.666666664,True,1.0,0.01082719947638374,matched_target
2020-03-18,159985,159985,True,True,31.0,豆粕,34795999.333333336,True,1.0,0.010451679895189914,matched_target
