trade_date,liquidity_threshold,source,lookback_days,daily_total_mean
2019-10-08,10000000.0,fallback_insufficient_history,0,0.0
2019-10-09,10000000.0,fallback_insufficient_history,1,30904707678.549515
2019-10-10,10000000.0,fallback_insufficient_history,2,35361154384.11104
2019-10-11,1866807.6181276408,joinquant_formula,3,37336152362.55282
2019-10-14,2245372.0328472354,joinquant_formula,3,44907440656.94471
2019-10-15,2457005.4366669566,joinquant_formula,3,49140108733.339134
2019-10-16,2427898.2937142802,joinquant_formula,3,48557965874.28561
2019-10-17,1952959.2525311215,joinquant_formula,3,39059185050.62243
2019-10-18,1490049.5736517215,joinquant_formula,3,29800991473.034428
2019-10-21,1337322.4756213683,joinquant_formula,3,26746449512.427364
2019-10-22,1692887.3827890551,joinquant_formula,3,33857747655.7811
2019-10-23,2014297.6553152145,joinquant_formula,3,40285953106.30429
2019-10-24,2204555.7069136472,joinquant_formula,3,44091114138.27295
2019-10-25,2159195.9684608905,joinquant_formula,3,43183919369.21781
2019-10-28,2294325.1668855543,joinquant_formula,3,45886503337.71108
2019-10-29,2524426.6185319396,joinquant_formula,3,50488532370.638794
2019-10-30,2457383.645148364,joinquant_formula,3,49147672902.96728
2019-10-31,2281706.090703022,joinquant_formula,3,45634121814.06045
2019-11-01,2059400.1126993336,joinquant_formula,3,41188002253.98667
2019-11-04,2118252.4870618535,joinquant_formula,3,42365049741.23707
2019-11-05,2228323.099878918,joinquant_formula,3,44566461997.57836
2019-11-06,2503076.2179565304,joinquant_formula,3,50061524359.13061
2019-11-07,2663170.1500618365,joinquant_formula,3,53263403001.236725
2019-11-08,2708943.1427202006,joinquant_formula,3,54178862854.404015
2019-11-11,2428815.8986589857,joinquant_formula,3,48576317973.17971
2019-11-12,2404908.554763314,joinquant_formula,3,48098171095.26627
2019-11-13,2416933.102325261,joinquant_formula,3,48338662046.505226
2019-11-14,2286206.48684465,joinquant_formula,3,45724129736.893
2019-11-15,1928743.728247556,joinquant_formula,3,38574874564.95112
2019-11-18,1537649.338637287,joinquant_formula,3,30752986772.74574
2019-11-19,1555142.4645061377,joinquant_formula,3,31102849290.122753
2019-11-20,1614026.9872581833,joinquant_formula,3,32280539745.163666
2019-11-21,1612985.0380754604,joinquant_formula,3,32259700761.509205
