trade_date,ths_top10_raw,is_weak,candidates_json,local_target,ths_target,target_match,local_top1
2020-01-02,"512400.SH:4.3342,512880.SH:3.8647,159949.SZ:1.6601,512200.SH:1.5801,512100.SH:1.4596,510900.SH:1.4158,512480.SH:1.3490,512070.SH:1.3463,510500.SH:1.1413,159915.SZ:1.0155",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.7045799863462943, ""annualized_return"": 4.196134514339369, ""r_squared"": 0.8828553931449779, ""close"": 0.736}, {""symbol"": ""512000"", ""rank"": 2, ""momentum_score"": 3.67862650306057, ""annualized_return"": 4.127660460760805, ""r_squared"": 0.8912134459777077, ""close"": 0.5021335676625659}, {""symbol"": ""512880"", ""rank"": 3, ""momentum_score"": 3.6088434951890513, ""annualized_return"": 4.039437419688577, ""r_squared"": 0.8934025014471638, ""close"": 1.049}]",512400,512400,True,512400
2020-01-03,"512880.SH:3.6075,159949.SZ:1.5099,512100.SH:1.4775,510900.SH:1.4363,512200.SH:1.4035,512070.SH:1.3123,510500.SH:1.1692,510300.SH:1.0107,159915.SZ:0.9639,161226.SZ:0.9597",False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 4.535504499467588, ""annualized_return"": 5.03374373034738, ""r_squared"": 0.901020143739934, ""close"": 0.748}]",512400,512880,False,512400
2020-01-06,"512980.SH:4.2216,512880.SH:3.7720,512100.SH:1.6987,159949.SZ:1.6734,510500.SH:1.3815,512070.SH:1.3681,512200.SH:1.2843,161226.SZ:1.2427,159915.SZ:1.1723,510900.SH:1.1666",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 3.748391962901532, ""annualized_return"": 4.247813598260681, ""r_squared"": 0.882428542635759, ""close"": 0.905}, {""symbol"": ""512000"", ""rank"": 2, ""momentum_score"": 3.7343156899410763, ""annualized_return"": 4.1530524121539765, ""r_squared"": 0.89917374483706, ""close"": 0.5006256590509667}, {""symbol"": ""512880"", ""rank"": 3, ""momentum_score"": 3.6714665275454386, ""annualized_return"": 4.071603655768866, ""r_squared"": 0.9017249314882375, ""close"": 1.045}]",512980,512980,True,512980
2020-01-07,"512880.SH:3.2986,512100.SH:1.8396,159949.SZ:1.6333,510500.SH:1.4622,159915.SZ:1.2948,512070.SH:1.2300,512200.SH:1.1855,161226.SZ:1.1150,512710.SH:1.0576,510900.SH:0.9925",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.526429972586227, ""annualized_return"": 5.21642831498327, ""r_squared"": 0.8677259034855047, ""close"": 0.933}]",512980,512880,False,512980
2020-01-08,"512100.SH:1.8576,159949.SZ:1.4866,510500.SH:1.4653,159915.SZ:1.2648,512710.SH:1.1792,512070.SH:0.9493,512670.SH:0.9181,510300.SH:0.9046,512200.SH:0.8917,512660.SH:0.8627",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.757904644620897, ""annualized_return"": 5.437607944338256, ""r_squared"": 0.8749995757923151, ""close"": 0.906}]",512980,512100,False,512980
2020-01-09,"512980.SH:4.9925,512100.SH:1.8799,159949.SZ:1.6529,510500.SH:1.4858,159915.SZ:1.4353,512710.SH:1.2057,512670.SH:0.9226,513100.SH:0.9073,510300.SH:0.9057,512660.SH:0.8966",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 3.235449739497248, ""annualized_return"": 3.6358321407219556, ""r_squared"": 0.8898787441971385, ""close"": 0.657}]",510410,512980,False,510410
2020-01-10,"512980.SH:4.9548,512100.SH:1.9013,512880.SH:1.8502,159949.SZ:1.7313,159915.SZ:1.5225,510500.SH:1.4334,512710.SH:1.1279,513100.SH:1.1252,512660.SH:0.9243,512670.SH:0.9223",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 2.9977632167014026, ""annualized_return"": 3.394350943752591, ""r_squared"": 0.8831624267428445, ""close"": 0.651}]",510410,512980,False,510410
2020-01-13,"512100.SH:2.0743,159949.SZ:1.9347,159915.SZ:1.8103,512880.SH:1.6012,510500.SH:1.5987,512710.SH:1.2372,512670.SH:1.0946,512660.SH:1.0594,512480.SH:1.0120,510300.SH:0.9370",False,"[{""symbol"": ""512580"", ""rank"": 1, ""momentum_score"": 2.7816785329858926, ""annualized_return"": 3.0399287208091623, ""r_squared"": 0.9150472884263783, ""close"": 0.845}, {""symbol"": ""510410"", ""rank"": 2, ""momentum_score"": 2.7398658207162825, ""annualized_return"": 3.1419343746131334, ""r_squared"": 0.8720315239091021, ""close"": 0.653}]",512580,512100,False,512580
2020-01-14,"512100.SH:2.1040,159949.SZ:2.0241,159915.SZ:1.8903,510500.SH:1.6656,513100.SH:1.4249,512880.SH:1.3901,512480.SH:1.3073,512710.SH:1.1335,512670.SH:1.0636,512660.SH:1.0602",False,"[{""symbol"": ""510410"", ""rank"": 1, ""momentum_score"": 2.5485232095795243, ""annualized_return"": 2.949181299563782, ""r_squared"": 0.8641459953501266, ""close"": 0.658}, {""symbol"": ""513050"", ""rank"": 2, ""momentum_score"": 2.4074972251266233, ""annualized_return"": 2.6437881929648013, ""r_squared"": 0.9106240929334071, ""close"": 1.524}]",510410,512100,False,510410
2020-01-15,"512400.SH:4.8538,512980.SH:4.4367,512100.SH:1.9641,159949.SZ:1.8999,512480.SH:1.8443,159915.SZ:1.8397,513100.SH:1.5390,510500.SH:1.5376,159928.SZ:1.1178,512880.SH:0.9410",False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.987458313767517, ""annualized_return"": 5.605333248747871, ""r_squared"": 0.889770169308243, ""close"": 0.922}]",512980,512400,False,512980
