trade_date,target_symbol,is_weak,candidates_json,local_target,jq_target,jq_top10_raw,target_match
2020-01-02,512400,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.7045799863462943, ""annualized_return"": 4.196134514339369, ""r_squared"": 0.8828553931449779, ""close"": 0.736}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6088434951890513, ""annualized_return"": 4.039437419688577, ""r_squared"": 0.8934025014471638, ""close"": 1.049}]",512400,512400,"512400.XSHG:3.7378,512880.XSHG:3.6874,512980.XSHG:2.8606,159949.XSHE:1.6300,512480.XSHG:1.5811,512200.XSHG:1.4867,512100.XSHG:1.3937,510900.XSHG:1.3137,512070.XSHG:1.2236,510500.XSHG:1.0694",True
2020-01-03,512400,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 4.535504499467588, ""annualized_return"": 5.03374373034738, ""r_squared"": 0.901020143739934, ""close"": 0.748}]",512400,512400,"512400.XSHG:4.5161,512880.XSHG:3.6553,512980.XSHG:3.1600,159949.XSHE:1.5646,512100.XSHG:1.4486,512200.XSHG:1.4399,510900.XSHG:1.4229,512070.XSHG:1.2680,512480.XSHG:1.1753,510500.XSHG:1.1334",True
2020-01-06,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 3.748391962901532, ""annualized_return"": 4.247813598260681, ""r_squared"": 0.882428542635759, ""close"": 0.905}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6714665275454386, ""annualized_return"": 4.071603655768866, ""r_squared"": 0.9017249314882375, ""close"": 1.045}]",512980,512880,"512880.XSHG:3.9295,512980.XSHG:3.8396,159949.XSHE:1.7197,512100.XSHG:1.6473,512200.XSHG:1.4247,512070.XSHG:1.4050,510900.XSHG:1.3821,510500.XSHG:1.3062,501018.XSHG:1.2484,512480.XSHG:1.1625",False
2020-01-07,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.526429972586227, ""annualized_return"": 5.21642831498327, ""r_squared"": 0.8677259034855047, ""close"": 0.933}]",512980,512980,"512980.XSHG:4.3718,512880.XSHG:3.4307,512100.XSHG:1.7286,159949.XSHE:1.6369,510500.XSHG:1.3582,512070.XSHG:1.2573,512200.XSHG:1.2533,159915.XSHE:1.1941,510900.XSHG:1.1442,161226.XSHE:1.0867",True
2020-01-08,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.757904644620897, ""annualized_return"": 5.437607944338256, ""r_squared"": 0.8749995757923151, ""close"": 0.906}]",512980,512880,"512880.XSHG:3.1470,512100.XSHG:1.8733,159949.XSHE:1.6333,510500.XSHG:1.4829,161226.XSHE:1.2970,159915.XSHE:1.2911,512070.XSHG:1.1696,512200.XSHG:1.1531,512710.XSHG:1.0666,510300.XSHG:0.9812",False
2020-01-09,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.6566257838995757, ""annualized_return"": 1.9058239987165533, ""r_squared"": 0.8692438467640264, ""close"": 0.696}, {""symbol"": ""510500"", ""rank"": 2, ""momentum_score"": 1.5078429013655636, ""annualized_return"": 1.7562324141029526, ""r_squared"": 0.8585668327592841, ""close"": 5.957}]",159949,512980,"512980.XSHG:4.9051,512100.XSHG:1.8458,159949.XSHE:1.6160,510500.XSHG:1.4693,159915.XSHE:1.3463,161226.XSHE:1.1935,512710.XSHG:1.1215,512200.XSHG:0.9380,510300.XSHG:0.9320,512070.XSHG:0.9306",False
2020-01-10,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.6872019591623806, ""annualized_return"": 1.9295483048089088, ""r_squared"": 0.8744025505645329, ""close"": 0.695}]",159949,512100,"512100.XSHG:1.9056,159949.XSHE:1.6872,510500.XSHG:1.4652,159915.XSHE:1.4314,512710.XSHG:1.1326,513100.XSHG:1.0159,510300.XSHG:0.9127,512670.XSHG:0.9037,512660.XSHG:0.8635,512070.XSHG:0.8022",False
2020-01-13,512880,False,"[{""symbol"": ""512880"", ""rank"": 1, ""momentum_score"": 2.0527431364090316, ""annualized_return"": 2.5234586849144587, ""r_squared"": 0.8134641350304558, ""close"": 1.05}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.8542226582063701, ""annualized_return"": 2.1231473574520843, ""r_squared"": 0.8733367713259237, ""close"": 0.706}]",512880,512100,"512100.XSHG:1.9912,512880.XSHG:1.8006,159949.XSHE:1.7904,159915.XSHE:1.6129,510500.XSHG:1.5215,512710.XSHG:1.1745,513100.XSHG:1.1449,512670.XSHG:0.9868,512660.XSHG:0.9606,510300.XSHG:0.9156",False
2020-01-14,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.9612416843439682, ""annualized_return"": 2.2246484798573936, ""r_squared"": 0.88159621715593, ""close"": 0.702}, {""symbol"": ""159915"", ""rank"": 2, ""momentum_score"": 1.8103204827244561, ""annualized_return"": 2.1738426528512207, ""r_squared"": 0.8327743870284413, ""close"": 1.85}]",159949,512100,"512100.XSHG:2.1147,159949.XSHE:2.0117,159915.XSHE:1.8197,512880.XSHG:1.7524,510500.XSHG:1.6614,513100.XSHG:1.2794,512710.XSHG:1.2121,512670.XSHG:1.0732,512660.XSHG:1.0693,512480.XSHG:1.0360",False
2020-01-15,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.987458313767517, ""annualized_return"": 5.605333248747871, ""r_squared"": 0.889770169308243, ""close"": 0.922}]",512980,512980,"512980.XSHG:4.8152,512100.XSHG:2.0317,159949.XSHE:1.9116,159915.XSHE:1.8153,510500.XSHG:1.5952,513100.XSHG:1.4409,512880.XSHG:1.2892,512480.XSHG:1.2878,512710.XSHG:1.0468,159928.XSHE:0.9838",True
