trade_date,target_symbol,is_weak,candidates_json,local_target,jq_target,target_match
2020-01-02,512400,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 3.7045799863462943, ""annualized_return"": 4.196134514339369, ""r_squared"": 0.8828553931449779, ""close"": 0.736}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6088434951890513, ""annualized_return"": 4.039437419688577, ""r_squared"": 0.8934025014471638, ""close"": 1.049}]",512400,512400,True
2020-01-03,512400,False,"[{""symbol"": ""512400"", ""rank"": 1, ""momentum_score"": 4.535504499467588, ""annualized_return"": 5.03374373034738, ""r_squared"": 0.901020143739934, ""close"": 0.748}]",512400,512400,True
2020-01-06,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 3.748391962901532, ""annualized_return"": 4.247813598260681, ""r_squared"": 0.882428542635759, ""close"": 0.905}, {""symbol"": ""512880"", ""rank"": 2, ""momentum_score"": 3.6714665275454386, ""annualized_return"": 4.071603655768866, ""r_squared"": 0.9017249314882375, ""close"": 1.045}]",512980,512880,False
2020-01-07,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.526429972586227, ""annualized_return"": 5.21642831498327, ""r_squared"": 0.8677259034855047, ""close"": 0.933}]",512980,512980,True
2020-01-08,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.757904644620897, ""annualized_return"": 5.437607944338256, ""r_squared"": 0.8749995757923151, ""close"": 0.906}]",512980,512880,False
2020-01-09,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.6566257838995757, ""annualized_return"": 1.9058239987165533, ""r_squared"": 0.8692438467640264, ""close"": 0.696}, {""symbol"": ""510500"", ""rank"": 2, ""momentum_score"": 1.5078429013655636, ""annualized_return"": 1.7562324141029526, ""r_squared"": 0.8585668327592841, ""close"": 5.957}]",159949,512980,False
2020-01-10,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.6872019591623806, ""annualized_return"": 1.9295483048089088, ""r_squared"": 0.8744025505645329, ""close"": 0.695}]",159949,512100,False
2020-01-13,512880,False,"[{""symbol"": ""512880"", ""rank"": 1, ""momentum_score"": 2.0527431364090316, ""annualized_return"": 2.5234586849144587, ""r_squared"": 0.8134641350304558, ""close"": 1.05}, {""symbol"": ""159949"", ""rank"": 2, ""momentum_score"": 1.8542226582063701, ""annualized_return"": 2.1231473574520843, ""r_squared"": 0.8733367713259237, ""close"": 0.706}]",512880,512100,False
2020-01-14,159949,False,"[{""symbol"": ""159949"", ""rank"": 1, ""momentum_score"": 1.9612416843439682, ""annualized_return"": 2.2246484798573936, ""r_squared"": 0.88159621715593, ""close"": 0.702}, {""symbol"": ""159915"", ""rank"": 2, ""momentum_score"": 1.8103204827244561, ""annualized_return"": 2.1738426528512207, ""r_squared"": 0.8327743870284413, ""close"": 1.85}]",159949,512100,False
2020-01-15,512980,False,"[{""symbol"": ""512980"", ""rank"": 1, ""momentum_score"": 4.987458313767517, ""annualized_return"": 5.605333248747871, ""r_squared"": 0.889770169308243, ""close"": 0.922}]",512980,512980,True
