trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2020-01-02,,,0,1000000.0,0.0,1000000.0
2020-01-03,511880,511880,9900,8237.34061069612,991465.2,999702.5406106961
2020-01-06,511880,511880,9900,8237.34061069612,991504.8,999742.1406106962
2020-01-07,511880,511880,9900,8237.34061069612,991623.6,999860.9406106961
2020-01-08,511880,511880,9900,8237.34061069612,991742.4,999979.7406106961
2020-01-09,511880,511880,9900,8237.34061069612,991791.9,1000029.2406106961
2020-01-10,511880,511880,9900,8237.34061069612,991989.8999999999,1000227.240610696
2020-01-13,511880,511880,9900,8237.34061069612,992069.1,1000306.4406106961
2020-01-14,511880,511880,9900,8237.34061069612,992217.6000000001,1000454.9406106962
2020-01-15,511880,511880,9900,8237.34061069612,992296.8,1000534.1406106962
2020-01-16,511880,511880,9900,8237.34061069612,992316.6,1000553.9406106961
2020-01-17,511880,511880,9900,8237.34061069612,992682.9,1000920.2406106961
2020-01-20,511880,511880,9900,8237.34061069612,992574.0,1000811.3406106961
2020-01-21,511880,511880,9900,8237.34061069612,992692.8,1000930.1406106962
2020-01-22,511880,511880,9900,8237.34061069612,992989.8,1001227.1406106962
2020-01-23,511880,511880,9900,8237.34061069612,993870.9,1002108.2406106961
2020-02-03,511880,511880,9900,8237.34061069612,993494.7,1001732.0406106961
2020-02-04,511880,511880,9900,8237.34061069612,993583.7999999999,1001821.140610696
2020-02-05,511880,511880,9900,8237.34061069612,993890.7,1002128.0406106961
2020-02-06,511880,511880,9900,8237.34061069612,993979.8,1002217.1406106962
2020-02-07,511880,511880,9900,8237.34061069612,994207.5,1002444.8406106961
2020-02-10,511880,511880,9900,8237.34061069612,994158.0,1002395.3406106961
2020-02-11,511880,511880,9900,8237.34061069612,994059.0,1002296.3406106961
2020-02-12,511880,511880,9900,8237.34061069612,994118.4,1002355.7406106961
2020-02-13,511880,511880,9900,8237.34061069612,994197.6000000001,1002434.9406106962
2020-02-14,511880,511880,9900,8237.34061069612,994375.7999999999,1002613.140610696
2020-02-17,159949,159949,1259600,1912.6245682480512,1008939.6000000001,1010852.2245682481
2020-02-18,159949,159949,1259600,1912.6245682480512,1016497.2000000001,1018409.8245682481
2020-02-19,159949,159949,1259600,1912.6245682480512,993824.4,995737.0245682481
2020-02-20,159949,159949,1259600,1912.6245682480512,1024054.7999999999,1025967.424568248
2020-02-21,159949,159949,1259600,1912.6245682480512,1042948.7999999999,1044861.424568248
2020-02-24,159949,159949,1259600,1912.6245682480512,1060583.2,1062495.824568248
2020-02-25,159915,159915,493600,2259.4191919681616,1083452.0,1085711.4191919682
2020-02-26,159915,159915,493600,2259.4191919681616,1037547.2,1039806.6191919681
2020-02-27,512660,512660,1196000,2012.0856376482407,1041716.0,1043728.0856376482
2020-02-28,512660,512660,1205000,1941.491538944305,989305.0,991246.4915389443
2020-03-02,518880,518880,290000,2112.743995344499,1027180.0,1029292.7439953445
2020-03-03,511880,511880,10100,11296.011610406567,1015746.9,1027042.9116104066
2020-03-04,159985,159985,1058800,2004.7533534502145,1024918.4,1026923.1533534502
2020-03-05,159985,159985,1058800,2004.7533534502145,1025977.2,1027981.9533534502
2020-03-06,512880,512880,956100,2019.0487002762966,1020158.7,1022177.7487002763
2020-03-09,515050,515050,2424800,1903.178317148704,988229.0604204203,990132.238737569
2020-03-10,518880,518880,290600,2250.437466763193,1049647.2,1051897.6374667631
2020-03-11,159985,159985,1115500,2104.2770122634247,1059725.0,1061829.2770122634
2020-03-12,518880,518880,292300,2221.4177998951636,1054618.4000000001,1056839.8177998953
2020-03-13,511880,511880,10100,9033.87680364505,1016312.5,1025346.376803645
2020-03-16,511880,511880,10100,9033.87680364505,1016494.3,1025528.1768036451
2020-03-17,511880,511880,10100,9033.87680364505,1016575.1,1025608.976803645
2020-03-18,159985,159985,1068000,2005.1880207651993,1023144.0,1025149.1880207652
2020-03-19,159985,159985,1068000,2005.1880207651993,1013532.0,1015537.1880207652
2020-03-20,511880,511880,10300,7927.6819708911935,1036993.7000000001,1044921.3819708913
2020-03-23,159985,159985,1022900,1995.3936960975407,1052564.0999999999,1054559.4936960973
2020-03-24,511880,511880,10300,2705.8199658114463,1037014.2999999999,1039720.1199658114
2020-03-25,511880,511880,10300,2705.8199658114463,1037024.6,1039730.4199658114
2020-03-26,159985,159985,1032000,2072.4421826114412,1037159.9999999999,1039232.4421826113
2020-03-27,159985,159985,1032000,2072.4421826114412,1049544.0,1051616.4421826114
2020-03-30,159985,159985,1032000,2072.4421826114412,1058832.0,1060904.4421826114
2020-03-31,159985,159985,1032000,2072.4421826114412,1055736.0,1057808.4421826114
2020-04-01,159985,159985,1032000,2072.4421826114412,1024776.0,1026848.4421826114
2020-04-02,511880,511880,10100,4949.213667373522,1017261.8999999999,1022211.1136673734
2020-04-03,159985,159985,1045000,2044.2123689735308,1019920.0,1021964.2123689735
2020-04-07,159985,159985,1045000,2044.2123689735308,1023055.0,1025099.2123689735
2020-04-08,511880,511880,10100,9063.478396665421,1017615.4,1026678.8783966654
2020-04-09,511880,511880,10100,9063.478396665421,1017686.1,1026749.5783966654
2020-04-10,511880,511880,10100,9063.478396665421,1017888.1000000001,1026951.5783966655
2020-04-13,511880,511880,10100,9063.478396665421,1017938.6,1027002.0783966654
