trade_date,action,symbol,price,shares,notional,cost,entry_mode,trend_slope_pct,minute,execution_mode
2020-01-03,buy,511880,100.15801479999999,9900,991564.3465199999,198.312869304,force_proxy,0.0008656106217082756,,
2020-02-17,sell,511880,100.434,9900,994296.6,198.85932,,,,daily_close
2020-02-17,buy,159949,0.7940794,1259600,1000222.41224,200.044482448,trend_proxy,0.08536064874093086,,
2020-02-25,sell,159949,0.854,1259600,1075698.4,215.13968,,,,daily_close
2020-02-25,buy,159915,2.17771775,493600,1074921.4814,214.98429628,trend_proxy,0.0777000777000773,,
2020-02-27,sell,159915,2.111,493600,1041989.6000000001,208.39792000000003,,,,daily_close
2020-02-27,buy,512660,0.8710871,1196000,1041820.1716,208.36403432,force_proxy,-0.037835792659856406,,
2020-02-28,stop_loss_sell,512660,0.827532745,1196000,989729.16302,197.945832604,,,,stop_proxy
2020-02-28,buy,512660,0.8210820999999999,1205000,989403.9304999999,197.8807861,force_proxy,-0.05980861244019161,,
2020-03-02,sell,512660,0.853,1205000,1027865.0,205.573,,,,daily_close
2020-03-02,buy,518880,3.5423541999999997,290000,1027282.7179999999,205.45654359999997,force_proxy,-0.006574621959237377,,
2020-03-03,sell,518880,3.536,290000,1025440.0,205.08800000000002,,,,daily_close
2020-03-03,buy,511880,100.5790569,10100,1015848.47469,203.169694938,force_proxy,0.0006630266503560023,,
2020-03-04,sell,511880,100.571,10100,1015767.1,203.15342,,,,daily_close
2020-03-04,buy,159985,0.967746765,1058800,1024650.274782,204.9300549564,trend_proxy,0.003447087211306451,,
2020-03-06,sell,159985,0.964,1058800,1020683.2,204.13664,,,,daily_close
2020-03-06,buy,512880,1.0671066999999999,956100,1020260.7158699998,204.05214317399998,force_proxy,-0.06433823529411797,,
2020-03-09,sell,512880,1.034,956100,988607.4,197.72148,,,,daily_close
2020-03-09,buy,515050,0.40759150582582576,2424800,988327.8833264624,197.6655766652925,force_proxy,-0.09649848359525832,,
2020-03-10,sell,515050,0.43323963963963963,2424800,1050519.4781981981,210.10389563963963,,,,daily_close
2020-03-10,buy,518880,3.6123612,290600,1049752.16472,209.950432944,force_proxy,-0.03198976327575154,,
2020-03-11,sell,518880,3.648,290600,1060108.8,212.02176000000003,,,,daily_close
2020-03-11,buy,159985,0.9500949999999999,1115500,1059830.9725,211.9661945,force_proxy,-0.024381748519679558,,
2020-03-12,sell,159985,0.946,1115500,1055263.0,211.0526,,,,daily_close
2020-03-12,buy,518880,3.6083608000000003,292300,1054723.8618400001,210.94477236800003,force_proxy,-0.01288422602613637,,
2020-03-13,sell,518880,3.502,292300,1023634.6,204.72692,,,,daily_close
2020-03-13,buy,511880,100.6350625,10100,1016414.1312500001,203.28282625000003,force_proxy,0.000265031422788109,,
2020-03-18,sell,511880,100.656,10100,1016625.6000000001,203.32512000000003,,,,daily_close
2020-03-18,buy,159985,0.9580957999999999,1068000,1023246.3143999999,204.64926287999998,force_proxy,-0.017307026652821172,,
2020-03-20,sell,159985,0.977,1068000,1043436.0,208.68720000000002,,,,daily_close
2020-03-20,buy,511880,100.6890679,10300,1037097.39937,207.41947987400002,force_proxy,0.0006291807404464519,,
2020-03-23,sell,511880,100.692,10300,1037127.6,207.42552,,,,daily_close
2020-03-23,buy,159985,1.01930192,1022900,1042643.933968,208.5287867936,trend_proxy,0.09324009324009304,,
2020-03-24,sell,159985,1.015,1022900,1038243.4999999999,207.6487,,,,daily_close
2020-03-24,buy,511880,100.6910681,10300,1037118.00143,207.423600286,force_proxy,6.621705287720066e-05,,
2020-03-26,sell,511880,100.684,10300,1037045.2,207.40904,,,,daily_close
2020-03-26,buy,159985,1.0051005,1032000,1037263.7159999999,207.4527432,force_proxy,-0.04579653254825011,,
2020-04-02,sell,159985,0.989,1032000,1020648.0,204.1296,,,,daily_close
2020-04-02,buy,511880,100.7290719,10100,1017363.62619,203.472725238,force_proxy,-3.309504898093193e-05,,
2020-04-03,sell,511880,100.745,10100,1017524.5,203.50490000000002,,,,daily_close
2020-04-03,buy,159985,0.9760976,1045000,1020021.992,204.0043984,force_proxy,-0.027100271002710175,,
2020-04-08,sell,159985,0.981,1045000,1025145.0,205.029,,,,daily_close
2020-04-08,buy,511880,100.76407540000001,10100,1017717.1615400001,203.54343230800004,force_proxy,6.616907522127846e-05,,
2020-04-16,sell,511880,100.791,10100,1017989.1,203.59782,,,,daily_close
2020-04-16,buy,159928,0.8059463760526315,1271400,1024680.2225133157,204.93604450266315,force_proxy,-0.001055520371543069,,
2020-04-20,sell,159928,0.8170973684210525,1271400,1038857.5942105262,207.77151884210525,,,,daily_close
2020-04-20,buy,513520,0.950745065,1092200,1038403.759993,207.6807519986,trend_proxy,0.00350877192982472,,
2020-04-23,sell,513520,0.938,1092200,1024483.6,204.89672000000002,,,,daily_close
2020-04-23,buy,513030,0.8570857,1194800,1024045.9943599999,204.809198872,force_proxy,0.0,,
2020-04-27,sell,513030,0.858,1194800,1025138.4,205.02768,,,,daily_close
2020-04-27,buy,159980,0.88398839,1159200,1024719.3416879999,204.94386833759998,trend_proxy,0.02272727272727278,,
2020-04-28,sell,159980,0.881,1159200,1021255.2,204.25104,,,,daily_close
2020-04-28,buy,513520,0.95699569,1066800,1020923.002092,204.1846004184,trend_proxy,0.020986358866736943,,
2020-04-29,sell,513520,0.98,1066800,1045464.0,209.0928,,,,daily_close
2020-04-29,buy,159928,0.8381127502631578,1246800,1044958.9770281052,208.99179540562105,force_proxy,-0.06764150004973657,,
2020-05-07,sell,159928,0.8548763157894737,1246800,1065859.7905263158,213.17195810526317,,,,daily_close
2020-05-07,buy,159967,0.3998501231943128,2664600,1065440.638263566,213.0881276527132,trend_proxy,0.009009009009008917,,
2020-05-15,sell,159967,0.40935639810426544,2664600,1090771.0583886257,218.15421167772516,,,,daily_close
2020-05-15,buy,159995,1.1348634750000002,960700,1090263.3404325002,218.05266808650006,trend_proxy,0.1049160671462827,,
2020-05-19,sell,159995,1.157,960700,1111529.9000000001,222.30598000000003,,,,daily_close
2020-05-19,buy,513520,1.0007500649999999,1110200,1111032.722163,222.2065444326,trend_proxy,0.0033333333333329662,,
2020-05-20,sell,513520,0.998,1110200,1107979.6,221.59592000000004,,,,daily_close
2020-05-20,buy,159949,0.7960796,1391300,1107585.54748,221.517109496,force_proxy,-0.03726708074534161,,
2020-05-21,sell,159949,0.792,1391300,1101909.6,220.38192000000004,,,,daily_close
2020-05-21,buy,513520,0.9980998,1103500,1101403.1293,220.28062586,force_proxy,-0.006666666666666672,,
2020-05-22,sell,513520,0.99,1103500,1092465.0,218.49300000000002,,,,daily_close
2020-05-22,buy,161226,0.7990799000000001,1366700,1092102.49933,218.42049986600003,force_proxy,0.0,,
2020-06-02,sell,161226,0.866,1366700,1183562.2,236.71244000000002,,,,daily_close
2020-06-02,buy,513520,1.08300829,1092200,1182861.6543379999,236.5723308676,trend_proxy,0.01853568118628394,,
2020-06-03,sell,513520,1.089,1092200,1189405.8,237.88116000000002,,,,daily_close
2020-06-03,buy,513030,1.020752065,1164800,1188972.005312,237.7944010624,trend_proxy,0.0032679738562091387,,
2020-06-05,sell,513030,1.068,1164800,1244006.4000000001,248.80128000000005,,,,daily_close
2020-06-05,buy,161226,0.8320831999999999,1494300,1243381.9257599998,248.67638515199997,force_proxy,-0.007993605115907224,,
2020-06-09,sell,161226,0.825,1494300,1232797.5,246.5595,,,,daily_close
2020-06-09,buy,513520,1.1055605450000001,1114700,1232368.3395115002,246.47366790230006,trend_proxy,0.03950167122455254,,
2020-06-15,stop_loss_sell,513520,1.0502825177500001,1114700,1170749.9225359252,234.14998450718505,,,,stop_proxy
2020-06-15,buy,513520,1.0411040999999999,1124100,1170305.11881,234.061023762,force_proxy,-0.08730901153726249,,
2020-06-16,sell,513520,1.095,1124100,1230889.5,246.17790000000002,,,,daily_close
2020-06-16,buy,515030,0.944544445,1302600,1230363.594057,246.07271881140002,trend_proxy,0.046296296296296134,,
2020-06-17,sell,515030,0.935,1302600,1217931.0,243.58620000000002,,,,daily_close
2020-06-17,buy,513030,1.037753765,1173100,1217388.9417215,243.4777883443,trend_proxy,0.0032144005143042165,,
2020-06-23,sell,513030,1.03,1173100,1208293.0,241.6586,,,,daily_close
2020-06-23,buy,515030,0.9886988600000001,1221700,1207893.397262,241.57867945240002,trend_proxy,0.013522650439485862,,
2020-06-24,sell,515030,0.988,1221700,1207039.6,241.40792000000002,,,,daily_close
2020-06-24,buy,159949,0.9210921000000001,1309900,1206538.5417900002,241.30770835800004,force_proxy,-0.0072228241242326225,,
2020-06-29,sell,159949,0.912,1309900,1194628.8,238.92576000000003,,,,daily_close
2020-06-29,buy,159992,1.25462545,951800,1194152.50331,238.83050066200002,trend_proxy,0.026709401709401615,,
2020-07-01,sell,159992,1.265,951800,1204027.0,240.80540000000002,,,,daily_close
2020-07-01,buy,159967,0.46765149981042653,2573700,1203594.6650620948,240.71893301241897,force_proxy,-0.08614232209737856,,
2020-07-03,sell,159967,0.46949241706161143,2573700,1208332.6337914693,241.66652675829386,,,,daily_close
2020-07-03,buy,159915,2.3693869149999998,509700,1207676.5105754999,241.5353021151,trend_proxy,0.04399035050375977,,
2020-07-06,sell,159915,2.45,509700,1248765.0,249.75300000000001,,,,daily_close
2020-07-06,buy,515050,0.4675498133693693,2670000,1248358.001696216,249.6716003392432,trend_proxy,0.14769544181308936,,
2020-07-07,sell,515050,0.4794102102102102,2670000,1280025.2612612613,256.00505225225226,,,,daily_close
2020-07-07,buy,159967,0.4899418091872038,2611400,1279434.040511464,255.8868081022928,trend_proxy,0.1530612244897959,,
2020-07-09,sell,159967,0.5228867298578199,2611400,1365466.406350711,273.0932812701422,,,,daily_close
2020-07-09,buy,515030,1.13001299,1207700,1364716.688023,272.9433376046,trend_proxy,0.07786762503743623,,
2020-07-10,sell,515030,1.138,1207700,1374362.5999999999,274.87252,,,,daily_close
2020-07-10,buy,510500,7.32163209,187600,1373538.1800839999,274.7076360168,trend_proxy,0.011865644395764688,,
2020-07-13,sell,510500,7.563,187600,1418818.8,283.76376000000005,,,,daily_close
2020-07-13,buy,515880,0.2211528208573124,6414000,1418474.1929788017,283.69483859576036,trend_proxy,0.11144883485309028,,
2020-07-14,sell,515880,0.21872961576386277,6414000,1402931.7555094159,280.58635110188317,,,,daily_close
2020-07-14,buy,510880,2.750275,509900,1402365.2225,280.4730445,force_proxy,-0.021676300578034418,,
2020-07-17,sell,510880,2.64,509900,1346136.0,269.22720000000004,,,,daily_close
2020-07-17,buy,161226,0.8660865999999999,1553800,1345725.3590799998,269.145071816,force_proxy,-0.015325670498084198,,
2020-07-22,sell,161226,1.011,1553800,1570891.7999999998,314.17836,,,,daily_close
2020-07-22,buy,159980,1.0351035,1516600,1569837.9681,313.96759362,force_proxy,-0.006428801028608063,,
2020-07-23,sell,159980,1.028,1516600,1559064.8,311.81296000000003,,,,daily_close
2020-07-23,buy,515220,0.5462395916979326,2853100,1558476.1790733715,311.69523581467433,trend_proxy,0.009107468123861947,,
2020-07-24,sell,515220,0.532802833078101,2853100,1520139.76305513,304.027952611026,,,,daily_close
2020-07-24,buy,513090,1.2631263,1203000,1519540.9389,303.90818778,force_proxy,-0.1750437609402352,,
2020-07-27,sell,513090,1.252,1203000,1506156.0,301.2312,,,,daily_close
2020-07-27,buy,161226,1.0263526250000001,1467000,1505659.3008750002,301.13186017500004,trend_proxy,0.15045135406218657,,
2020-07-28,sell,161226,1.06,1467000,1555020.0,311.004,,,,daily_close
2020-07-28,buy,513030,1.1071107,1403900,1554272.71173,310.854542346,force_proxy,-0.009009009009009286,,
2020-07-30,sell,513030,1.105,1403900,1551309.5,310.2619,,,,daily_close
2020-07-30,buy,159967,0.5509873207109005,2814400,1550698.7154087585,310.1397430817517,force_proxy,-0.030714516650500734,,
2020-08-07,sell,159967,0.5447298578199052,2814400,1533087.7118483414,306.6175423696683,,,,daily_close
2020-08-07,buy,518880,4.3784378,350000,1532453.2300000002,306.4906460000001,force_proxy,-0.01817355747387543,,
2020-08-10,sell,518880,4.349,350000,1522150.0,304.43,,,,daily_close
2020-08-10,buy,159992,1.5311530999999998,993700,1521506.8354699998,304.301367094,force_proxy,-0.013012361743656534,,
2020-08-12,stop_loss_sell,159992,1.4545954449999998,993700,1445431.4936964998,289.0862987393,,,,stop_proxy
