date,value_ths,weak_ths,pool_ths,target_ths,pending_ths,position_ths,positions_raw_ths,value_jq,weak_jq,pool_jq,target_jq,pending_jq,position_jq,positions_raw_jq,_merge,weak_match,target_match,position_match,value_diff_pct
2020-01-02,997688.97,False,34.0,512400,,512400,512400.SH:1351500:994704.00,998009.23,False,34,512400,,512400,512400.XSHG:1351600:994777.60,both,True,True,True,-0.0003208988357753517
2020-01-03,1013906.97,False,34.0,512400,,512400,512400.SH:1351500:1010922.00,1014228.43,False,34,512400,,512400,512400.XSHG:1351600:1010996.80,both,True,True,True,-0.00031695029491540794
2020-01-06,1029944.48,False,34.0,512880,,512880,512880.SH:982300:1026503.50,1029380.34,False,34,512880,,512880,512880.XSHG:982900:1027130.50,both,True,True,True,0.0005480384441769459
2020-01-07,1035335.47,False,34.0,512980,,512980,512980.SH:1105100:1031058.30,1034426.27,False,34,512980,,512980,512980.XSHG:1104600:1030591.80,both,True,True,True,0.0008789413285104075
2020-01-08,1017570.77,False,34.0,512880,,512880,512880.SH:994200:1015078.20,1017001.93,False,34,512880,,512880,512880.XSHG:994500:1015384.50,both,True,True,True,0.000559330305302419
2020-01-09,1031779.26,False,34.0,512980,,512980,512980.SH:1118500:1029020.00,1031314.99,False,34,512980,,512980,512980.XSHG:1118100:1028652.00,both,True,True,True,0.00045017284195592033
2020-01-10,1025253.02,False,34.0,512100,,512100,512100.SH:1363900:1022925.00,1023772.54,False,34,512100,,512100,512100.XSHG:1362100:1021575.00,both,True,True,True,0.0014461024711602821
2020-01-13,1038892.02,False,34.0,512100,,512100,512100.SH:1363900:1036564.00,1037393.54,False,34,512100,,512100,512100.XSHG:1362100:1035196.00,both,True,True,True,0.0014444662919339546
2020-01-14,1036164.22,False,34.0,512100,,512100,512100.SH:1363900:1033836.20,1034669.34,False,34,512100,,512100,512100.XSHG:1362100:1032471.80,both,True,True,True,0.001444790081438052
2020-01-15,1034427.97,False,34.0,512980,,512980,512980.SH:1118500:1031257.00,1033261.38,False,34,512980,,512980,512980.XSHG:1117000:1029874.00,both,True,True,True,0.0011290366818896835
2020-01-16,1023714.6,False,34.0,512400,,512400,512400.SH:1353800:1022119.00,1022936.13,False,34,512400,,512400,512400.XSHG:1352400:1021062.00,both,True,True,True,0.0007610152551753568
2020-01-17,1021007.0,False,34.0,512400,,512400,512400.SH:1353800:1019411.40,1020231.33,False,34,512400,,512400,512400.XSHG:1352400:1018357.20,both,True,True,True,0.0007602883553869955
2020-01-20,1034166.42,False,34.0,512480,,512480,512480.SH:587400:1029124.80,1034612.87,False,35,512480,,512480,512480.XSHG:587900:1030000.80,both,True,True,True,-0.00043151405994013015
2020-01-21,1024431.85,False,34.0,159915,,159915,159915.SZ:540100:1021869.20,1024933.81,False,35,159915,,159915,159915.XSHE:540400:1022436.80,both,True,True,True,-0.0004897486989916544
2020-01-22,1047245.41,False,35.0,515050,,515050,515050.SH:897700:1044025.10,1047979.1,False,35,515050,,515050,515050.XSHG:897800:1044141.40,both,True,True,True,-0.0007000998397772573
2020-01-23,1019961.32,False,35.0,159949,,159949,159949.SZ:1431100:1017512.10,1021619.79,False,35,159949,,159949,159949.XSHE:1432400:1018436.40,both,True,True,True,-0.0016233730162961146
