date,value,weak,pool,target,pending,position,positions_raw
2020-01-02,998009.23,False,34,512400,,512400,512400.XSHG:1351600:994777.60
2020-01-03,1014228.43,False,34,512400,,512400,512400.XSHG:1351600:1010996.80
2020-01-06,1029380.34,False,34,512880,,512880,512880.XSHG:982900:1027130.50
2020-01-07,1034426.27,False,34,512980,,512980,512980.XSHG:1104600:1030591.80
2020-01-08,1017001.93,False,34,512880,,512880,512880.XSHG:994500:1015384.50
2020-01-09,1031314.99,False,34,512980,,512980,512980.XSHG:1118100:1028652.00
2020-01-10,1023772.54,False,34,512100,,512100,512100.XSHG:1362100:1021575.00
2020-01-13,1037393.54,False,34,512100,,512100,512100.XSHG:1362100:1035196.00
2020-01-14,1034669.34,False,34,512100,,512100,512100.XSHG:1362100:1032471.80
2020-01-15,1033261.38,False,34,512980,,512980,512980.XSHG:1117000:1029874.00
2020-01-16,1022936.13,False,34,512400,,512400,512400.XSHG:1352400:1021062.00
2020-01-17,1020231.33,False,34,512400,,512400,512400.XSHG:1352400:1018357.20
2020-01-20,1034612.87,False,35,512480,,512480,512480.XSHG:587900:1030000.80
2020-01-21,1024933.81,False,35,159915,,159915,159915.XSHE:540400:1022436.80
2020-01-22,1047979.1,False,35,515050,,515050,515050.XSHG:897800:1044141.40
2020-01-23,1021619.79,False,35,159949,,159949,159949.XSHE:1432400:1018436.40
2020-02-03,952700.68,True,9,518880,,518880,518880.XSHG:269800:949696.00
2020-02-04,945146.28,True,9,518880,,518880,518880.XSHG:269800:942141.60
2020-02-05,938940.88,True,9,518880,,518880,518880.XSHG:269800:935936.20
2020-02-06,931150.44,True,9,513100,,513100,513100.XSHG:252300:928968.60
2020-02-07,937962.54,True,9,513100,,513100,513100.XSHG:252300:935780.70
2020-02-10,943765.44,True,9,513100,,513100,513100.XSHG:252300:941583.60
2020-02-11,978835.14,False,36,513100,,513100,513100.XSHG:252300:976653.30
2020-02-12,1004065.14,False,37,513100,,513100,513100.XSHG:252300:1001883.30
2020-02-13,1034152.53,False,37,512170,,512170,512170.XSHG:710100:1032485.40
2020-02-14,1029891.93,False,37,512170,,512170,512170.XSHG:710100:1028224.80
2020-02-17,1063976.73,False,37,512170,,512170,512170.XSHG:710100:1062309.60
2020-02-18,1068947.43,False,36,512170,,512170,512170.XSHG:710100:1067280.30
2020-02-19,1045514.13,False,36,512170,,512170,512170.XSHG:710100:1043847.00
2020-02-20,1066547.05,False,36,159949,,159949,159949.XSHE:1309800:1064867.40
2020-02-21,1086194.05,False,36,159949,,159949,159949.XSHE:1309800:1084514.40
2020-02-24,1105745.92,False,36,159915,,159915,159915.XSHE:506500:1103157.00
2020-02-25,1114356.42,False,36,159915,,159915,159915.XSHE:506500:1111767.50
2020-02-26,1065046.93,False,36,159967,,159967,159967.XSHE:726900:1062727.80
2020-02-27,1072302.83,False,36,512670,,512670,512670.XSHG:859500:1070937.00
2020-02-28,1014234.47,False,36,518880,,518880,518880.XSHG:279300:1011903.90
2020-03-02,989757.66,True,8,511880,,511880,511880.XSHG:9800:985537.00
2020-03-03,989462.38,True,8,159985,,159985,159985.XSHE:1020000:987360.00
2020-03-04,989462.38,True,8,159985,,159985,159985.XSHE:1020000:987360.00
2020-03-05,990482.38,True,8,159985,,159985,159985.XSHE:1020000:988380.00
