date,dt_ths,code,mode_ths,steps_ths,final_value_ths,actual_value_ths,gap_pct_ths,dt_jq,mode_jq,steps_jq,final_value_jq,actual_value_jq,gap_pct_jq,_merge
2020-01-02,2020-01-02 13:44:00,512400,trend,5.0,997750.6,997407.0,0.0003,2020-01-02 13:44:00,trend,5.0,997750.6,997480.8,0.0003,both
2020-01-07,2020-01-07 13:15:00,512980,trend,5.0,1022591.7,1022217.5,0.0004,2020-01-07 13:15:00,trend,5.0,1022037.9,1021755.0,0.0003,both
2020-01-08,2020-01-08 14:44:00,512880,force,5.0,1017446.4,1017066.6,0.0004,2020-01-08 14:44:00,force,5.0,1017651.2,1017373.5,0.0003,both
2020-01-09,2020-01-09 13:44:00,512980,trend,5.0,1026031.3,1025664.5,0.0004,2020-01-09 13:44:00,trend,5.0,1025572.8,1025297.7,0.0003,both
2020-01-15,2020-01-15 14:14:00,512980,trend,5.0,1028232.1,1027901.5,0.0003,2020-01-15 14:14:00,trend,5.0,1026764.9,1026523.0,0.0002,both
2020-01-16,2020-01-16 14:44:00,512400,force,5.0,1019709.6,1019411.4,0.0003,2020-01-16 14:44:00,force,5.0,1018578.6,1018357.2,0.0002,both
2020-01-20,2020-01-20 13:15:00,512480,trend,5.0,1022504.0,1022076.0,0.0004,2020-01-20 13:15:00,trend,5.0,1023198.4,1022946.0,0.0002,both
2020-01-21,2020-01-21 13:15:00,159915,trend,5.0,1024058.0,1023489.5,0.0006,2020-01-21 13:15:00,trend,5.0,1024437.0,1024058.0,0.0004,both
2020-01-22,2020-01-22 13:15:00,515050,trend,5.0,1027343.2,1030559.6,-0.0031,2020-01-22 13:15:00,trend,5.0,1027343.2,1030674.4,-0.0032,both
2020-01-23,2020-01-23 14:44:00,159949,force,5.0,1003520.0,1010356.6,-0.0068,2020-01-23 14:44:00,force,5.0,1004360.0,1011274.4,-0.0069,both
2020-02-03,2020-02-03 14:44:00,518880,force,5.0,947584.0,947501.1,0.0001,2020-02-03 14:44:00,force,5.0,950400.0,949965.8,0.0005,both
2020-02-06,2020-02-06 13:15:00,513100,trend,5.0,926023.0,925403.4,0.0007,2020-02-06 13:15:00,trend,5.0,928968.6,928716.3,0.0003,both
2020-02-13,2020-02-13 13:44:00,512170,trend,5.0,1027290.0,1026872.7,0.0004,2020-02-13 13:44:00,trend,5.0,1030629.6,1030355.1,0.0003,both
2020-02-20,2020-02-20 13:15:00,159949,trend,5.0,1053874.4,1054844.0,-0.0009,2020-02-20 13:15:00,trend,5.0,1057268.0,1058318.4,-0.001,both
2020-02-24,2020-02-24 13:15:00,159915,trend,5.0,1094335.0,1096713.1,-0.0022,2020-02-24 13:15:00,trend,5.0,1098018.9,1100624.5,-0.0024,both
2020-02-27,2020-02-27 13:15:00,512670,trend,5.0,1086264.0,1085819.0,0.0004,2020-02-27 13:15:00,trend,5.0,1089309.6,1088986.5,0.0003,both
2020-03-06,2020-03-06 13:15:00,515050,trend,5.0,978120.0,977724.8,0.0004,2020-03-06 13:15:00,trend,5.0,982072.0,981806.9,0.0003,both
2020-03-09,2020-03-09 14:14:00,512170,trend,5.0,948147.0,947793.6,0.0004,2020-03-09 14:14:00,trend,5.0,951951.0,951600.0,0.0004,both
2020-03-16,2020-03-16 14:44:00,159985,force,5.0,927928.4,927631.4,0.0003,2020-03-16 14:44:00,force,5.0,932339.8,932134.0,0.0002,both
2020-04-03,2020-04-03 14:44:00,159985,force,5.0,943889.6,943507.5,0.0004,2020-04-03 14:44:00,force,5.0,948184.0,947895.0,0.0003,both
2020-04-14,2020-04-14 13:15:00,512010,trend,5.0,945905.6,945411.0,0.0005,2020-04-14 13:15:00,trend,5.0,950269.4,950002.4,0.0003,both
2020-04-21,2020-04-21 13:44:00,512170,trend,5.0,932912.0,932542.2,0.0004,2020-04-21 13:44:00,trend,5.0,937210.4,937002.6,0.0002,both
2020-04-27,2020-04-27 13:15:00,513100,trend,5.0,941015.0,940297.5,0.0008,2020-04-27 13:15:00,trend,5.0,946696.6,946341.0,0.0004,both
2020-04-30,2020-04-30 13:44:00,512690,trend,5.0,1013437.5,1013085.0,0.0003,2020-04-30 13:44:00,trend,5.0,1020017.5,1019782.5,0.0002,both
2020-05-18,2020-05-18 13:44:00,512480,trend,5.0,1048657.5,1048047.0,0.0006,2020-05-18 13:44:00,trend,5.0,1054879.2,1054653.6,0.0002,both
2020-05-19,2020-05-19 14:14:00,513100,trend,5.0,1041875.1,1041040.0,0.0008,2020-05-19 14:14:00,trend,5.0,1048937.4,1048476.0,0.0004,both
2020-05-20,2020-05-20 13:44:00,512690,trend,5.0,1043566.2,1043097.0,0.0004,2020-05-20 13:44:00,trend,5.0,1050699.7,1050371.4,0.0003,both
2020-05-21,2020-05-21 14:44:00,513100,force,5.0,1050617.5,1049930.0,0.0007,2020-05-21 14:44:00,force,5.0,1058427.4,1058092.0,0.0003,both
2020-05-22,2020-05-22 13:44:00,161226,trend,5.0,1024372.4,1024054.0,0.0003,2020-05-22 13:44:00,trend,5.0,1032093.6,1031854.8,0.0002,both
2020-06-02,2020-06-02 13:44:00,512690,trend,5.0,1110505.0,1110056.0,0.0004,2020-06-02 13:44:00,trend,5.0,1119496.4,1119168.0,0.0003,both
2020-06-03,2020-06-03 13:15:00,513030,trend,5.0,1099662.0,1099297.2,0.0003,2020-06-03 13:15:00,trend,5.0,1109352.0,1109079.6,0.0002,both
2020-06-04,2020-06-04 14:44:00,161226,force,5.0,1129885.4,1129516.6,0.0003,2020-06-04 14:44:00,force,5.0,1141284.2,1141011.9,0.0002,both
2020-06-08,2020-06-08 14:44:00,513520,force,5.0,1132213.7,1131774.9,0.0004,2020-06-08 14:44:00,force,5.0,1143512.8,1143183.7,0.0003,both
2020-06-15,2020-06-15 14:34:00,512690,trend,5.0,1098006.0,1097528.4,0.0004,2020-06-15 14:34:00,trend,5.0,1108926.0,1108672.2,0.0002,both
2020-06-16,2020-06-16 14:44:00,513030,force,5.0,1113945.0,1113528.0,0.0004,2020-06-16 14:44:00,force,5.0,1125893.0,1125602.4,0.0003,both
2020-06-19,2020-06-19 13:15:00,515030,trend,5.0,1114724.4,1114333.2,0.0004,2020-06-19 13:15:00,trend,5.0,1126949.4,1126656.0,0.0003,both
2020-06-23,2020-06-23 13:15:00,159949,trend,5.0,1121857.8,1121458.8,0.0004,2020-06-23 13:15:00,trend,5.0,1134787.5,1134466.0,0.0003,both
2020-06-29,2020-06-29 13:15:00,512010,trend,5.0,1113054.6,1112413.5,0.0006,2020-06-29 13:15:00,trend,5.0,1126049.4,1125397.9,0.0006,both
2020-06-30,2020-06-30 13:15:00,159967,trend,5.0,1132227.2,1131652.8,0.0005,2020-06-30 13:15:00,trend,5.0,1144956.8,1144721.2,0.0002,both
2020-07-02,2020-07-02 14:14:00,159915,trend,5.0,1097446.8,1096976.6,0.0004,2020-07-02 14:14:00,trend,5.0,1110050.4,1109808.1,0.0002,both
