date,value,weak,pool,target,pending,position,positions_raw
2020-01-02,997688.97,False,34,512400,,512400,512400.SH:1351500:994704.00
2020-01-03,1013906.97,False,34,512400,,512400,512400.SH:1351500:1010922.00
2020-01-06,1029944.48,False,34,512880,,512880,512880.SH:982300:1026503.50
2020-01-07,1035335.47,False,34,512980,,512980,512980.SH:1105100:1031058.30
2020-01-08,1017570.77,False,34,512880,,512880,512880.SH:994200:1015078.20
2020-01-09,1031779.26,False,34,512980,,512980,512980.SH:1118500:1029020.00
2020-01-10,1025253.02,False,34,512100,,512100,512100.SH:1363900:1022925.00
2020-01-13,1038892.02,False,34,512100,,512100,512100.SH:1363900:1036564.00
2020-01-14,1036164.22,False,34,512100,,512100,512100.SH:1363900:1033836.20
2020-01-15,1034427.97,False,34,512980,,512980,512980.SH:1118500:1031257.00
2020-01-16,1023714.6,False,34,512400,,512400,512400.SH:1353800:1022119.00
2020-01-17,1021007.0,False,34,512400,,512400,512400.SH:1353800:1019411.40
2020-01-20,1034166.42,False,34,512480,,512480,512480.SH:587400:1029124.80
2020-01-21,1024431.85,False,34,159915,,159915,159915.SZ:540100:1021869.20
2020-01-22,1047245.41,False,35,515050,,515050,515050.SH:897700:1044025.10
2020-01-23,1019961.32,False,35,159949,,159949,159949.SZ:1431100:1017512.10
2020-02-03,949583.33,True,9,518880,,518880,518880.SH:269100:947232.00
2020-02-04,942048.53,True,9,518880,,518880,518880.SH:269100:939697.20
2020-02-05,935859.23,True,9,518880,,518880,518880.SH:269100:933507.90
2020-02-06,927996.68,True,9,513100,,513100,513100.SH:251400:925654.80
2020-02-07,934784.48,True,9,513100,,513100,513100.SH:251400:932442.60
2020-02-10,940566.68,True,9,513100,,513100,513100.SH:251400:938224.80
2020-02-11,975511.28,False,34,513100,,513100,513100.SH:251400:973169.40
2020-02-12,1000651.28,False,35,513100,,513100,513100.SH:251400:998309.40
2020-02-13,1030921.62,False,37,512170,,512170,512170.SH:707700:1028995.80
2020-02-14,1026675.42,False,37,512170,,512170,512170.SH:707700:1024749.60
2020-02-17,1060645.02,False,37,512170,,512170,512170.SH:707700:1058719.20
2020-02-18,1065598.92,False,36,512170,,512170,512170.SH:707700:1063673.10
2020-02-19,1042244.82,False,36,512170,,512170,512170.SH:707700:1040319.00
2020-02-20,1063099.4,False,36,159949,,159949,159949.SZ:1305500:1061371.50
2020-02-21,1082681.9,False,36,159949,,159949,159949.SZ:1305500:1080954.00
2020-02-24,1102059.46,False,36,159915,,159915,159915.SZ:504700:1099236.60
2020-02-25,1110639.36,False,36,159915,,159915,159915.SZ:504700:1107816.50
2020-02-26,1062124.97,False,36,159967,,159967,159967.SZ:724200:1058780.40
2020-02-27,1069400.78,False,36,512670,,512670,512670.SH:857000:1067822.00
