trade_date,action,symbol,price,shares,notional,cost
2020-01-03,buy,511880,100.15801479999999,9900,991564.3465199999,198.312869304
2020-02-17,sell,511880,100.434,9900,994296.6,198.85932
2020-02-17,buy,159949,0.8010801000000001,1248500,1000148.5048500001,200.02970097000005
2020-02-25,sell,159949,0.854,1248500,1066219.0,213.24380000000002
2020-02-25,buy,159915,2.1952195,485400,1065559.5452999999,213.11190906
2020-02-27,sell,159915,2.111,485400,1024679.4000000001,204.93588000000003
2020-02-27,buy,512660,0.8710871,1176100,1024485.53831,204.897107662
2020-03-02,sell,512660,0.853,1176100,1003213.2999999999,200.64266
2020-03-02,buy,518880,3.5423541999999997,283100,1002840.47402,200.568094804
2020-03-03,sell,518880,3.536,283100,1001041.6,200.20832000000001
2020-03-03,buy,511880,100.5790569,9900,995732.66331,199.146532662
2020-03-04,sell,511880,100.571,9900,995652.9,199.13058
2020-03-04,buy,159985,0.9680968,1033100,1000140.80408,200.02816081600002
2020-03-06,sell,159985,0.964,1033100,995908.4,199.18168
2020-03-06,buy,512880,1.0671066999999999,932900,995503.8404299999,199.100768086
2020-03-09,sell,512880,1.034,932900,964618.6,192.92372
2020-03-09,buy,515050,0.40759150582582576,2366000,964361.5027839037,192.87230055678074
2020-03-10,sell,515050,0.43323963963963963,2366000,1025044.9873873873,205.00899747747746
2020-03-10,buy,518880,3.6123612,283600,1024465.63632,204.89312726400001
2020-03-11,sell,518880,3.648,283600,1034572.8,206.91456000000002
2020-03-11,buy,159985,0.9500949999999999,1088500,1034178.4074999999,206.8356815
2020-03-12,sell,159985,0.946,1088500,1029721.0,205.94420000000002
2020-03-12,buy,518880,3.6083608000000003,285200,1029104.50016,205.82090003200003
2020-03-13,sell,518880,3.502,285200,998770.3999999999,199.75408
2020-03-13,buy,511880,100.6350625,9900,996287.11875,199.25742375000002
2020-03-18,sell,511880,100.656,9900,996494.4,199.29888000000003
2020-03-18,buy,159985,0.9580957999999999,1042100,998431.6331799999,199.686326636
2020-03-20,sell,159985,0.977,1042100,1018131.7,203.62634
2020-03-20,buy,511880,100.6890679,10100,1016959.5857899999,203.39191715799998
2020-03-23,sell,511880,100.692,10100,1016989.2,203.39784
2020-03-23,buy,159985,1.0291028999999998,988600,1017371.1269399999,203.47422538799998
2020-03-24,sell,159985,1.015,988600,1003428.9999999999,200.6858
2020-03-24,buy,511880,100.6910681,9900,996841.57419,199.368314838
2020-03-26,sell,511880,100.684,9900,996771.6,199.35432
