rank,grid_id,trend_lookback_minutes,trend_slope_threshold,fixed_stop_loss_threshold,force_buy_minute,cash_buffer,total_return,annualized_return,max_drawdown,trade_count,buy_count,sell_count,stop_loss_count,win_rate,final_equity,daily_volatility,score_return_drawdown,entry_mode_breakdown,execution_mode_breakdown
1,23,30,0.002,0.97,1440,0.998,0.7186987834694503,2.7386209810479674,-0.5842708109233641,115,58,48,9,0.43859649122807015,1718698.7834694502,0.17967642696119687,1.230078193250216,"{""trend_real"": 35, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
2,17,30,0.001,0.97,1440,0.998,0.7050097914041802,2.666527497633309,-0.5842709488152897,115,58,48,9,0.43859649122807015,1705009.7914041802,0.17968159535516032,1.206648718088259,"{""trend_real"": 35, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 40, ""daily_close"": 8, ""stop_real"": 8, ""stop_proxy"": 1}"
3,29,45,0.001,0.97,1440,0.998,0.6864968339821405,2.5703415669461167,-0.5823820647216524,115,58,47,10,0.45614035087719296,1686496.8339821405,0.17977524305930614,1.1787739966035,"{""trend_real"": 35, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
4,35,45,0.002,0.97,1440,0.998,0.6837306335769069,2.5560987607565,-0.5823820647216524,115,58,47,10,0.45614035087719296,1683730.633576907,0.17977919408553228,1.1740241930418884,"{""trend_real"": 35, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 39, ""stop_real"": 9, ""daily_close"": 8, ""stop_proxy"": 1}"
5,27,45,0.001,0.95,1440,0.998,0.6802610391985631,2.538281683049041,-0.5814393551914272,113,57,55,1,0.4642857142857143,1680261.039198563,0.17980679149672646,1.169960432029237,"{""trend_real"": 34, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
6,33,45,0.002,0.95,1440,0.998,0.677521542423311,2.5242510525964637,-0.5814393551914272,113,57,55,1,0.4642857142857143,1677521.542423311,0.17980831316730486,1.1652488541995074,"{""trend_real"": 34, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
7,28,45,0.001,0.95,1455,0.998,0.6634209201453791,2.452552231416936,-0.5810941866601101,113,57,55,1,0.44642857142857145,1663420.9201453791,0.17998963198759915,1.1416753692864303,"{""trend_real"": 34, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
8,25,45,0.001,0.0,1440,0.998,0.6623755335903707,2.4472712077107395,-0.5814393551914272,111,56,55,0,0.4727272727272727,1662375.5335903708,0.17983220516825926,1.1391996906922424,"{""trend_real"": 34, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
9,34,45,0.002,0.95,1455,0.998,0.6607018243838105,2.438825977629187,-0.5810941866601101,113,57,55,1,0.44642857142857145,1660701.8243838106,0.17998764424407665,1.1369961007203535,"{""trend_real"": 34, ""force_real"": 13, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
10,21,30,0.002,0.95,1440,0.998,0.6679728581831375,2.4756030108572276,-0.5885590504007607,113,57,55,1,0.44642857142857145,1667972.8581831374,0.17976638132694134,1.1349292101247996,"{""trend_real"": 35, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
11,31,45,0.002,0.0,1440,0.998,0.6596532473295236,2.4335412686675886,-0.5814393551914272,111,56,55,0,0.4727272727272727,1659653.2473295236,0.17983045274638287,1.1345177127068498,"{""trend_real"": 34, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
12,22,30,0.002,0.95,1455,0.998,0.6586509753425165,2.4284944085848212,-0.5885633897815554,113,57,55,1,0.42857142857142855,1658650.9753425166,0.1798428900532975,1.1190824756989626,"{""trend_real"": 35, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9, ""stop_real"": 1}"
13,26,45,0.001,0.0,1455,0.998,0.6494061022255344,2.3821487053417956,-0.5810941866601101,111,56,55,0,0.45454545454545453,1649406.1022255344,0.1800077490677686,1.1175573893761577,"{""trend_real"": 34, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
14,32,45,0.002,0.0,1455,0.998,0.6467034273686225,2.368670033510389,-0.5810941866601101,111,56,55,0,0.45454545454545453,1646703.4273686225,0.18000455555738634,1.1129063794040124,"{""trend_real"": 34, ""force_real"": 12, ""trend_proxy"": 5, ""force_proxy"": 5}","{""minute"": 46, ""daily_close"": 9}"
