trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-02-06,,,0,1000000.0,0.0,1000000.0
2026-02-09,159518,159518,996700,2003.9710360660683,996700.0,998703.9710360661
2026-02-10,501018,501018,730800,1975.401584294741,1019466.0,1021441.4015842947
2026-02-11,513310,513310,287000,2191.435216094833,982114.0,984305.4352160948
2026-02-12,513310,513310,287000,2191.435216094833,1015693.0,1017884.4352160948
2026-02-13,513310,513310,287000,2191.435216094833,1034061.0,1036252.4352160948
2026-02-24,513310,513310,287000,2191.435216094833,1105237.0,1107428.4352160948
2026-02-25,513310,513310,287000,2191.435216094833,1131067.0,1133258.4352160948
2026-02-26,513310,513310,287000,2191.435216094833,1240127.0,1242318.4352160948
2026-02-27,513350,513350,1100000,2470.578470094828,1260600.0,1263070.5784700948
2026-03-02,513350,513350,1100000,2470.578470094828,1387100.0,1389570.5784700948
2026-03-03,513520,513520,758000,3070.106583334971,1514484.0,1517554.106583335
2026-03-04,518880,518880,134200,3410.5438116539735,1473516.0,1476926.543811654
2026-03-05,518880,518880,134200,3410.5438116539735,1471368.8,1474779.343811654
2026-03-06,159985,159985,688500,2799.0592804041225,1463751.0,1466550.0592804041
2026-03-09,159985,159985,688500,2799.0592804041225,1536732.0000000002,1539531.0592804044
2026-03-10,511880,511880,15300,7095.449145740131,1533763.7999999998,1540859.24914574
2026-03-11,159985,159985,688700,2943.5060021721292,1545442.8,1548386.3060021722
2026-03-12,159667,159667,2453000,3060.284270748263,1583789.8133716162,1586850.0976423644
2026-03-13,159611,159611,1285100,3027.5058399064,1515132.9000000001,1518160.4058399065
2026-03-16,515220,515220,1146400,2881.7968174612615,1476563.2,1479444.9968174612
2026-03-17,515220,515220,1142400,2808.883128421381,1439424.0,1442232.8831284214
2026-03-18,159985,159985,626400,2830.269862837158,1410026.4,1412856.669862837
2026-03-19,159985,159985,626400,2830.269862837158,1405641.6,1408471.8698628373
2026-03-20,159985,159985,626400,2830.269862837158,1381212.0,1384042.2698628372
2026-03-23,511880,511880,14200,7600.163883601315,1423961.8,1431561.9638836014
2026-03-24,511880,511880,14200,7600.163883601315,1424018.6,1431618.7638836014
2026-03-25,511880,511880,14200,7600.163883601315,1424047.0,1431647.1638836013
2026-03-26,511880,511880,14200,7600.163883601315,1424231.6,1431831.7638836014
2026-03-27,511880,511880,14200,7600.163883601315,1424203.2000000002,1431803.3638836015
2026-03-30,511880,511880,14200,7600.163883601315,1424203.2000000002,1431803.3638836015
2026-03-31,511880,511880,14200,7600.163883601315,1424430.4,1432030.5638836012
2026-04-01,520830,520830,1522100,2769.463338784408,1433818.2,1436587.6633387844
2026-04-02,512800,512800,1757600,2746.8640414243564,1414868.0,1417614.8640414244
2026-04-03,520830,520830,1510400,2713.0323586086743,1400140.8,1402853.8323586087
2026-04-07,520830,520830,1510400,2713.0323586086743,1394099.2,1396812.2323586086
2026-04-08,520830,520830,1510400,2713.0323586086743,1412224.0,1414937.0323586087
2026-04-09,513120,513120,1093700,2788.0464205187745,1395561.2,1398349.2464205187
2026-04-10,513120,513120,1093700,2788.0464205187745,1402123.4000000001,1404911.446420519
2026-04-13,513120,513120,1093700,2788.0464205187745,1391186.4,1393974.4464205187
2026-04-14,515880,515880,1123300,2693.8992125429213,667238.06580114,669931.965013683
2026-04-15,515880,515880,1123300,2693.8992125429213,657006.0050664978,659699.9042790408
2026-04-16,515880,515880,1123300,2693.8992125429213,680701.3036098797,683395.2028224226
2026-04-17,515880,515880,1123300,2693.8992125429213,714090.1333755542,716784.0325880972
2026-04-20,159967,159967,1908000,2874.276444302872,1505412.0,1508286.2764443029
2026-04-21,159363,159363,1173400,2938.923013814958,1499605.2,1502544.123013815
2026-04-22,562800,562800,1361000,2987.441066335421,1547457.0,1550444.4410663354
2026-04-23,159819,159819,848400,2883.8806353276595,1494880.8,1497764.6806353277
2026-04-24,588200,588200,515300,2898.8011128259823,1445931.8,1448830.601112826
2026-04-27,159949,159949,862000,2979.640506265918,1506776.0,1509755.640506266
2026-04-28,159995,159995,755500,2892.6782442356925,1495890.0,1498782.6782442357
2026-04-29,513100,513100,755100,2936.4938443156425,1481506.2,1484442.6938443156
2026-04-30,588080,588080,928800,2846.7514770196285,1488866.4,1491713.1514770195
2026-05-06,588220,588220,933500,3232.1710786097683,1591617.5,1594849.6710786098
2026-05-07,588790,588790,1698100,3160.492205257993,1635270.3,1638430.792205258
2026-05-08,159949,159949,884000,3133.0961569380015,1609764.0,1612897.096156938
2026-05-11,513100,513100,784000,3200.116766218096,1652672.0,1655872.116766218
