trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-02-06,,,0,1000000.0,0.0,1000000.0
2026-02-09,159518,159518,996700,2003.9710360660683,996700.0,998703.9710360661
2026-02-10,501018,501018,730800,1975.401584294741,1019466.0,1021441.4015842947
2026-02-11,513310,513310,287000,2191.435216094833,982114.0,984305.4352160948
2026-02-12,513310,513310,287000,2191.435216094833,1015693.0,1017884.4352160948
2026-02-13,513310,513310,287000,2191.435216094833,1034061.0,1036252.4352160948
2026-02-24,513310,513310,287000,2191.435216094833,1105237.0,1107428.4352160948
2026-02-25,513310,513310,287000,2191.435216094833,1131067.0,1133258.4352160948
2026-02-26,513310,513310,287000,2191.435216094833,1240127.0,1242318.4352160948
2026-02-27,513350,513350,1100000,2470.578470094828,1260600.0,1263070.5784700948
2026-03-02,513350,513350,1100000,2470.578470094828,1387100.0,1389570.5784700948
2026-03-03,513520,513520,765600,3098.5151039031334,1529668.8,1532767.3151039032
2026-03-04,518880,518880,133900,3337.605662512826,1470222.0,1473559.6056625128
2026-03-05,518880,518880,133900,3337.605662512826,1468079.6,1471417.205662513
2026-03-06,159985,159985,686200,2972.029911564896,1458861.2,1461833.2299115648
2026-03-09,159985,159985,686200,2972.029911564896,1531598.4000000001,1534570.429911565
2026-03-10,511880,511880,15200,12156.355397389038,1523739.2,1535895.555397389
2026-03-11,159985,159985,686400,3116.757396493107,1540281.6,1543398.3573964932
2026-03-12,159667,159667,2445100,3044.4928033133037,1578689.1449958982,1581733.6377992115
2026-03-13,159611,159611,1271300,2917.4840372251347,1498862.7,1501780.184037225
2026-03-16,515220,515220,1126900,2879.8943103633355,1451447.2,1454327.0943103633
2026-03-17,515220,515220,1126900,2879.8943103633355,1419894.0,1422773.8943103633
2026-03-18,159985,159985,618000,2677.990583283361,1391118.0,1393795.9905832834
2026-03-19,159985,159985,618000,2677.990583283361,1386792.0000000002,1389469.9905832836
2026-03-20,159985,159985,618000,2677.990583283361,1362690.0,1365367.9905832834
2026-03-23,511880,511880,14000,8358.73970544315,1403906.0,1412264.7397054431
2026-03-24,511880,511880,14000,8358.73970544315,1403962.0,1412320.7397054431
2026-03-25,511880,511880,14000,8358.73970544315,1403990.0,1412348.7397054431
2026-03-26,511880,511880,14000,8358.73970544315,1404172.0,1412530.7397054431
2026-03-27,511880,511880,14000,8358.73970544315,1404144.0,1412502.7397054431
2026-03-30,511880,511880,14000,8358.73970544315,1404144.0,1412502.7397054431
2026-03-31,511880,511880,14000,8358.73970544315,1404368.0,1412726.7397054431
2026-04-01,520830,520830,1501600,2715.473640411161,1414507.2,1417222.673640411
2026-04-02,512800,512800,1733900,2715.9112746210303,1395789.5,1398505.411274621
2026-04-03,520830,520830,1490000,2713.43099002121,1381230.0,1383943.4309900212
2026-04-07,520830,520830,1490000,2713.43099002121,1375270.0,1377983.4309900212
2026-04-08,520830,520830,1490000,2713.43099002121,1393150.0,1395863.4309900212
2026-04-09,513120,513120,1079000,2695.0107597212773,1376804.0,1379499.0107597213
2026-04-10,513120,513120,1079000,2695.0107597212773,1383278.0,1385973.0107597213
2026-04-13,513120,513120,1079000,2695.0107597212773,1372488.0,1375183.0107597213
2026-04-14,515880,515880,1108100,2728.43388748914,658209.2946801775,660937.7285676666
2026-04-15,515880,515880,1108100,2728.43388748914,648115.6896770108,650844.1235644999
2026-04-16,515880,515880,1108100,2728.43388748914,671490.3538948701,674218.7877823593
2026-04-17,515880,515880,1108100,2728.43388748914,704427.3807473085,707155.8146347976
2026-04-20,159967,159967,1882200,2891.9950263728388,1485055.8,1487947.795026373
2026-04-21,159363,159363,1157600,2871.2624759408645,1479412.8,1482284.062475941
2026-04-22,562800,562800,1342600,3002.9991857728455,1526536.2,1529539.1991857728
2026-04-23,159819,159819,825500,2813.7712621330284,1454531.0,1457344.771262133
2026-04-24,588200,588200,504800,2922.520491797244,1416468.8,1419391.3204917973
2026-04-27,159949,159949,843000,2976.1724973770324,1473564.0,1476540.172497377
2026-04-28,159995,159995,736200,2961.1625438570045,1457676.0,1460637.162543857
2026-04-29,513100,513100,735900,2827.8340965767857,1443835.8,1446663.6340965768
2026-04-30,588080,588080,905100,2873.3818057847675,1450875.3,1453748.6818057848
2026-05-06,588220,588220,909800,3042.2671740765218,1551209.0,1554251.2671740765
2026-05-07,588790,588790,1654900,3056.460308894282,1593668.7,1596725.1603088942
2026-05-08,159949,159949,861500,3049.5850813742727,1568791.5,1571841.0850813743
2026-05-11,513100,513100,764000,3210.132032254245,1610512.0,1613722.1320322542
2026-05-12,159363,159363,1163900,3101.690841394011,1592215.2000000002,1595316.8908413942
