trade_date,action,symbol,price,shares,notional,cost,entry_mode,trend_slope_pct,minute,execution_mode
2026-02-09,buy,159518,1.0011001,996700,997796.4696699999,199.55929393399998,trend_real,0.005624913639231431,1340.0,
2026-02-10,sell,159518,1.011,996700,1007663.7,201.53274,,,1311.0,minute
2026-02-10,buy,501018,1.37833782,730800,1007289.278856,201.45785577120003,trend_proxy,0.11878247958426143,,
2026-02-11,sell,501018,1.348,730800,985118.4,197.02368,,,,daily_close
2026-02-11,buy,513310,3.430343,287000,984508.441,196.9016882,trend_real,0.006285817690464772,1311.0,
2026-02-27,sell,513310,4.384,287000,1258208.0,251.6416,,,1311.0,minute
2026-02-27,buy,513350,1.1431143,1100000,1257425.73,251.48514600000001,trend_real,0.0033618175579151048,1311.0,
2026-03-03,sell,513350,1.387,1100000,1525700.0,305.14,,,1311.0,minute
2026-03-03,buy,513520,1.9911991,765600,1524462.03096,304.892406192,force_real,0.0,1455.0,
2026-03-04,sell,513520,1.926,765600,1474545.5999999999,294.90912,,,1311.0,minute
2026-03-04,buy,518880,11.0061005,133900,1473716.8569500002,294.74337139000005,trend_real,0.0011323587979395254,1311.0,
2026-03-06,sell,518880,10.903,133900,1459911.7,291.98234,,,1311.0,minute
2026-03-06,buy,159985,2.1272127,686200,1459693.3547399999,291.938670948,force_real,0.0,1455.0,
2026-03-10,sell,159985,2.235,686200,1533657.0,306.7314,,,1311.0,minute
2026-03-10,buy,511880,100.25402439999999,15200,1523861.1708799999,304.772234176,force_real,0.0,1455.0,
2026-03-11,sell,511880,100.248,15200,1523769.6,304.75392000000005,,,1311.0,minute
2026-03-11,buy,159985,2.2322232,686400,1532198.00448,306.439600896,trend_real,0.02895659113604608,1311.0,
2026-03-12,sell,159985,2.301,686400,1579406.4000000001,315.88128000000006,,,1311.0,minute
2026-03-12,buy,159667,0.6457187901968827,2445100,1578847.013910398,315.76940278207957,force_proxy,-0.052883820856056696,,
2026-03-13,sell,159667,0.621584495488105,2445100,1519836.2499179656,303.96724998359315,,,,daily_close
2026-03-13,buy,159611,1.1951195000000001,1271300,1519355.42035,303.87108407,trend_real,0.009678517494323316,1311.0,
2026-03-16,sell,159611,1.152,1271300,1464537.5999999999,292.90752,,,1311.0,minute
2026-03-16,buy,515220,1.2991298999999998,1126900,1463989.4843099997,292.79789686199996,trend_real,0.025757445452508385,1311.0,
2026-03-18,sell,515220,1.236,1126900,1392848.4,278.56968,,,1311.0,minute
2026-03-18,buy,159985,2.2532253,618000,1392493.2354,278.49864708,trend_real,0.009006071585019702,1410.0,
2026-03-23,sell,159985,2.282,618000,1410276.0,282.0552,,,1311.0,minute
2026-03-23,buy,511880,100.28802780000001,14000,1404032.3892,280.80647784,force_real,0.0,1455.0,
2026-04-01,sell,511880,100.308,14000,1404312.0,280.86240000000004,,,1311.0,minute
2026-04-01,buy,520830,0.93859385,1501600,1409392.52516,281.878505032,trend_proxy,0.03576537911301821,,
2026-04-02,sell,520830,0.93,1501600,1396488.0,279.2976,,,,daily_close
2026-04-02,buy,512800,0.8050805000000001,1733900,1395929.0789500002,279.18581579000005,trend_real,0.004617307039993514,1440.0,
2026-04-03,sell,512800,0.797,1733900,1381918.3,276.38366,,,1311.0,minute
2026-04-03,buy,520830,0.9270927,1490000,1381368.123,276.2736246,force_proxy,-0.017882689556509474,,
2026-04-09,sell,520830,0.931,1490000,1387190.0,277.438,,,,daily_close
