trade_date,target_symbol,held_symbol,shares,cash,position_value,equity
2026-02-06,,,0,1000000.0,0.0,1000000.0
2026-02-09,159518,159518,997700,2000.6700459999265,997700.0,999700.6700459999
2026-02-10,501018,501018,724100,2046.0799736098852,1010119.5,1012165.5799736099
2026-02-11,513310,513310,285100,2032.7594413659535,975612.2000000001,977644.959441366
2026-02-12,513310,513310,285100,2032.7594413659535,1008968.9,1011001.659441366
2026-02-13,513310,513310,285100,2032.7594413659535,1027215.3,1029248.059441366
2026-02-24,513310,513310,285100,2032.7594413659535,1097920.1,1099952.859441366
2026-02-25,513310,513310,285100,2032.7594413659535,1123579.0999999999,1125611.8594413658
2026-02-26,513310,513310,285100,2032.7594413659535,1231917.0999999999,1233949.8594413658
2026-02-27,513350,513350,1058000,2343.9176720061805,1212468.0,1214811.9176720062
2026-03-02,513350,513350,1058000,2343.9176720061805,1334138.0,1336481.9176720062
2026-03-03,513520,513520,733800,2924.1594293583184,1466132.4,1469056.5594293582
2026-03-04,518880,518880,127900,3106.783342518145,1404342.0,1407448.7833425181
2026-03-05,518880,518880,127900,3106.783342518145,1402295.6,1405402.3833425182
2026-03-06,159985,159985,654000,2664.202994438121,1390404.0,1393068.2029944381
2026-03-09,159985,159985,654000,2664.202994438121,1459728.0000000002,1462392.2029944384
2026-03-10,511880,511880,14200,3524.913364574546,1423493.2,1427018.1133645745
2026-03-11,159985,159985,634400,2812.088292702334,1423593.6,1426405.6882927024
2026-03-12,159667,159667,2192100,2746.4361101177055,1415338.6261279737,1418085.0622380914
2026-03-13,159611,159611,1155200,2659.8721154646482,1361980.8,1364640.6721154647
2026-03-16,515220,515220,1028300,2561.5076264564414,1324450.4000000001,1327011.9076264566
2026-03-17,515220,515220,1028300,2561.5076264564414,1295658.0,1298219.5076264564
2026-03-18,159985,159985,571200,2550.56989103253,1285771.2,1288321.7698910325
2026-03-19,159985,159985,571200,2550.56989103253,1281772.8,1284323.3698910326
2026-03-20,159985,159985,571200,2550.56989103253,1259496.0,1262046.5698910325
2026-03-23,511880,511880,12600,12177.334800724639,1263515.4,1275692.7348007245
2026-03-24,511880,511880,12600,12177.334800724639,1263565.8,1275743.1348007247
2026-03-25,511880,511880,12600,12177.334800724639,1263591.0,1275768.3348007246
2026-03-26,511880,511880,12600,12177.334800724639,1263754.8,1275932.1348007247
2026-03-27,511880,511880,12600,12177.334800724639,1263729.6,1275906.9348007247
2026-03-30,511880,511880,12600,12177.334800724639,1263729.6,1275906.9348007247
2026-03-31,511880,511880,12600,12177.334800724639,1263931.2,1276108.5348007246
2026-04-01,520830,520830,1351400,2455.0174603485502,1273018.8,1275473.8174603486
2026-04-02,512800,512800,1560500,2426.271186298458,1256202.5,1258628.7711862985
2026-04-03,520830,520830,1341000,2416.070524158422,1243107.0,1245523.0705241584
2026-04-07,520830,520830,1341000,2416.070524158422,1237743.0,1240159.0705241584
2026-04-08,520830,520830,1341000,2416.070524158422,1253835.0,1256251.0705241584
2026-04-09,513120,513120,977900,2462.611248150468,1247800.4,1250263.0112481504
2026-04-10,513120,513120,977900,2462.611248150468,1253667.8,1256130.4112481505
2026-04-13,513120,513120,977900,2462.611248150468,1243888.8,1246351.4112481505
2026-04-14,515880,515880,2107900,2437.726524345344,1252088.5951234961,1254526.3216478415
2026-04-15,515880,515880,2107900,2437.726524345344,1232887.8822039266,1235325.608728272
2026-04-16,515880,515880,2107900,2437.726524345344,1277352.6910702977,1279790.417594643
2026-04-17,515880,515880,2107900,2437.726524345344,1340007.6490183664,1342445.3755427117
2026-04-20,159967,159967,1717800,2592.3312476959545,1355344.2,1357936.531247696
2026-04-21,159363,159363,1055900,2668.034038892016,1349440.2,1352108.234038892
2026-04-22,562800,562800,1243700,2779.8984871539287,1414086.9,1416866.7984871538
2026-04-23,159819,159819,769000,2757.251387593802,1354978.0,1357735.2513875938
2026-04-24,588200,588200,475000,2686.6805305939633,1332850.0,1335536.680530594
2026-04-27,159949,159949,797900,2809.9238760098815,1394729.2,1397539.1238760098
2026-04-28,159995,159995,691600,2751.387228650041,1369368.0,1372119.38722865
2026-04-29,513100,513100,694100,2698.122332166182,1361824.2,1364522.3223321661
2026-04-30,588080,588080,847800,2736.9397516984027,1359023.4,1361760.3397516983
2026-05-06,588220,588220,840400,2768.1205340584274,1432882.0,1435650.1205340584
2026-05-07,588790,588790,1526400,2809.774175594561,1469923.2,1472732.9741755945
2026-05-08,159949,159949,795900,2831.0290189164225,1449333.9,1452164.9290189163
2026-05-11,513100,513100,712400,2999.94538413221,1501739.2,1504739.1453841322
2026-05-12,159363,159363,1083200,2945.669587780023,1481817.6,1484763.26958778
2026-05-13,159949,159949,798000,3083.3998415400274,1551312.0,1554395.39984154
2026-05-14,159915,159915,383800,3079.3022969039157,1520231.8,1523311.102296904
2026-05-15,159949,159949,805000,2943.6166357039474,1523060.0,1526003.616635704
2026-05-18,513100,513100,734900,2915.888249636162,1518303.4,1521219.288249636
2026-05-19,513100,513100,734900,2915.888249636162,1504340.3,1507256.1882496362
2026-05-20,511880,511880,15000,7460.4357671360485,1507125.0,1514585.435767136
2026-05-21,511880,511880,15000,7460.4357671360485,1507215.0,1514675.435767136
2026-05-22,159509,159509,573000,2919.662247115979,1511001.0,1513920.662247116
2026-05-25,159509,159509,573000,2919.662247115979,1548819.0,1551738.662247116
