trade_date,action,symbol,price,shares,notional,cost,entry_mode,trend_slope_pct
2026-02-09,buy,159518,1.0001,997700,997799.77,199.559954,trend,-0.009970089730807116
2026-02-10,sell,159518,1.013,997700,1010670.0999999999,202.13402,,
2026-02-10,buy,501018,1.3951395,724100,1010220.51195,202.04410239,trend,0.11878247958426143
2026-02-11,sell,501018,1.348,724100,976086.8,195.21736,,
2026-02-11,buy,513310,3.4223422,285100,975709.76122,195.141952244,trend,-0.047056563910496584
2026-02-27,sell,513310,4.256,285100,1213385.6,242.67712000000003,,
2026-02-27,buy,513350,1.1461146,1058000,1212589.2468,242.51784936,trend,0.0029112081513823127
2026-03-03,sell,513350,1.387,1058000,1467446.0,293.48920000000004,,
2026-03-03,buy,513520,1.9981998,733800,1466279.01324,293.25580264800004,trend,-0.1709401709401707
2026-03-04,sell,513520,1.915,733800,1405227.0,281.04540000000003,,
2026-03-04,buy,518880,10.981098000000001,127900,1404482.4342000003,280.8964868400001,trend,-0.0060606060606061
2026-03-06,sell,518880,10.873,127900,1390656.7,278.13134,,
2026-03-06,buy,159985,2.1262125999999997,654000,1390543.0403999998,278.10860807999995,trend,0.04126984126984127
2026-03-10,sell,159985,2.179,654000,1425066.0,285.01320000000004,,
2026-03-10,buy,511880,100.25602459999999,14200,1423635.5493199998,284.72710986399994,trend,9.975758905822474e-05
2026-03-11,sell,511880,100.253,14200,1423592.6,284.71852,,
2026-03-11,buy,159985,2.2442244000000002,634400,1423735.9593600002,284.74719187200003,trend,0.054347826086956395
2026-03-12,sell,159985,2.232,634400,1415980.8,283.19616,,
2026-03-12,buy,159667,0.6457187901968827,2192100,1415480.1599905866,283.0960319981173,trend,-0.052883820856056696
2026-03-13,sell,159667,0.621584495488105,2192100,1362575.372559475,272.515074511895,,
2026-03-13,buy,159611,1.1791179,1155200,1362116.99808,272.42339961600004,trend,-0.07462686567164163
2026-03-16,sell,159611,1.147,1155200,1325014.4,265.00288,,
2026-03-16,buy,515220,1.2881288,1028300,1324582.84504,264.916569008,trend,-0.09063444108761327
2026-03-18,sell,515220,1.251,1028300,1286403.2999999998,257.28065999999995,,
2026-03-18,buy,159985,2.2512250999999996,571200,1285899.7771199998,257.17995542399996,trend,-0.013274336283185528
2026-03-23,sell,159985,2.23,571200,1273776.0,254.7552,,
2026-03-23,buy,511880,100.2890279,12600,1263641.7515399999,252.728350308,trend,-0.00019943161988352406
2026-04-01,sell,511880,100.312,12600,1263931.2,252.78624,,
2026-04-01,buy,520830,0.9420942,1351400,1273146.10188,254.629220376,trend,0.03576537911301821
2026-04-02,sell,520830,0.93,1351400,1256802.0,251.3604,,
2026-04-02,buy,512800,0.8050805000000001,1560500,1256328.1202500002,251.26562405000004,trend,0.016645859342488595
2026-04-03,sell,512800,0.797,1560500,1243718.5,248.74370000000002,,
2026-04-03,buy,520830,0.9270927,1341000,1243231.3107,248.64626214,trend,-0.017882689556509474
2026-04-09,sell,520830,0.931,1341000,1248471.0,249.69420000000002,,
2026-04-09,buy,513120,1.2761276,977900,1247925.18004,249.585036008,trend,-0.03872966692486416
2026-04-14,sell,513120,1.281,977900,1252689.9,250.53798,,
2026-04-14,buy,515880,0.5940574998733377,2107900,1252213.8039830085,250.4427607966017,trend,0.035345296356715426
2026-04-20,sell,515880,0.6433780873970869,2107900,1356176.6704243196,271.23533408486395,,
2026-04-20,buy,159967,0.7890789,1717800,1355479.73442,271.09594688400006,trend,0.01698513800424628
2026-04-21,sell,159967,0.786,1717800,1350190.8,270.03816,,
2026-04-21,buy,159363,1.2781278,1055900,1349575.14402,269.91502880400003,trend,0.005224660397074032
2026-04-22,sell,159363,1.34,1055900,1414906.0,282.9812,,
2026-04-22,buy,562800,1.1371137,1243700,1414228.30869,282.84566173800005,trend,0.056648777579009955
2026-04-23,sell,562800,1.09,1243700,1355633.0,271.1266,,
2026-04-23,buy,159819,1.7621762,769000,1355113.4978,271.02269956000004,trend,-0.031853100993067075
2026-04-24,sell,159819,1.734,769000,1333446.0,266.6892,,
2026-04-24,buy,588200,2.8062806,475000,1332983.285,266.596657,trend,0.07283321194464658
2026-04-27,sell,588200,2.938,475000,1395550.0,279.11,,
2026-04-27,buy,159949,1.7481748,797900,1394868.67292,278.973734584,trend,-0.03397508493771221
2026-04-28,sell,159949,1.717,797900,1369994.3,273.99886000000004,,
2026-04-28,buy,159995,1.980198,691600,1369504.9368,273.90098736000004,trend,-0.015082956259427164
2026-04-29,sell,159995,1.97,691600,1362452.0,272.4904,,
2026-04-29,buy,513100,1.9621962,694100,1361960.38242,272.392076484,trend,0.018793780967025036
2026-04-30,sell,513100,1.959,694100,1359741.9000000001,271.94838000000004,,
2026-04-30,buy,588080,1.6031602999999999,847800,1359159.30234,271.831860468,trend,0.13636363636363594
2026-05-06,sell,588080,1.691,847800,1433629.8,286.72596000000004,,
2026-05-06,buy,588220,1.7051705000000001,840400,1433025.2882,286.60505764000004,trend,0.04357298474945518
2026-05-07,sell,588220,1.75,840400,1470700.0,294.14,,
2026-05-07,buy,588790,0.9630962999999999,1526400,1470070.19232,294.014038464,trend,0.09249377445748792
2026-05-08,sell,588790,0.95,1526400,1450080.0,290.016,,
2026-05-08,buy,159949,1.8211821,795900,1449478.83339,289.89576667800003,trend,-0.0018294914013905483
2026-05-11,sell,159949,1.888,795900,1502659.2,300.53184,,
2026-05-11,buy,513100,2.1082108,712400,1501889.3739200002,300.377874784,trend,0.006337135614702394
2026-05-12,sell,513100,2.081,712400,1482504.4,296.50088,,
2026-05-12,buy,159363,1.3681368,1083200,1481965.7817600002,296.39315635200006,trend,0.01468428781204123
2026-05-13,sell,159363,1.433,1083200,1552225.6,310.44512000000003,,
2026-05-13,buy,159949,1.9441944,798000,1551467.1312,310.29342624000003,trend,0.12820512820512775
2026-05-14,sell,159949,1.906,798000,1520988.0,304.1976,,
2026-05-14,buy,159915,3.9613961,383800,1520383.82318,304.076764636,trend,-0.10671228413163887
2026-05-15,sell,159915,3.97,383800,1523686.0,304.73720000000003,,
2026-05-15,buy,159949,1.8921891999999998,805000,1523212.3059999999,304.6424612,trend,-0.029683953204121167
2026-05-18,sell,159949,1.887,805000,1519035.0,303.807,,
2026-05-18,buy,513100,2.0662065999999997,734900,1518455.2303399998,303.691046068,trend,0.0016142050040353813
2026-05-20,sell,513100,2.058,734900,1512424.2,302.48484,,
2026-05-20,buy,511880,100.4850475,15000,1507275.7125,301.4551425,trend,0.0006636470724867097
2026-05-22,sell,511880,100.481,15000,1507215.0,301.44300000000004,,
2026-05-22,buy,159509,2.6372637,573000,1511152.1001000002,302.23042002000005,trend,0.044837304637458754
2026-05-27,sell,159509,2.712,573000,1553976.0,310.7952,,
2026-05-27,buy,515980,1.1471147,1354100,1553308.0152699999,310.661603054,trend,-0.06273167949814658
2026-05-28,sell,515980,1.172,1354100,1587005.2,317.40104,,
2026-05-28,buy,159819,2.040204,777500,1586258.61,317.25172200000003,trend,0.07860846295367097
2026-05-29,sell,159819,1.968,777500,1530120.0,306.024,,
2026-05-29,buy,515980,1.1311131,1352300,1529604.2451300002,305.92084902600004,trend,-0.11935208866155178
2026-06-01,sell,515980,1.11,1352300,1501053.0000000002,300.21060000000006,,
2026-06-01,buy,513100,2.3652365000000004,634400,1500506.0356000003,300.1012071200001,trend,0.13491714327614016
2026-06-05,sell,513100,2.205,634400,1398852.0,279.7704,,
2026-06-05,buy,515050,1.2331233000000001,1134100,1398485.1345300002,279.697026906,trend,-0.07917656373713333
2026-06-08,sell,515050,1.189,1134100,1348444.9000000001,269.68898,,
2026-06-08,buy,513520,2.2322232,603900,1348039.59048,269.607918096,trend,0.09050467863169247
2026-06-09,sell,513520,2.352,603900,1420372.7999999998,284.07455999999996,,
2026-06-09,buy,511880,100.52405139999999,14100,1417389.1247399999,283.477824948,trend,3.3163206085706776e-05
2026-06-16,sell,511880,100.522,14100,1417360.2000000002,283.47204000000005,,
2026-06-16,buy,513520,2.4562456,577700,1418973.0831199999,283.79461662399996,trend,0.0509852556152679
2026-06-23,sell,513520,2.447,577700,1413631.9000000001,282.72638000000006,,
2026-06-23,buy,515880,0.8601607383153895,1642900,1413158.0769783536,282.63161539567074,trend,-0.09389671361502334
2026-06-24,sell,515880,0.8758955034832173,1642900,1439008.7226725777,287.80174453451554,,
2026-06-24,buy,159516,1.6531653,870100,1438419.12753,287.683825506,trend,0.24458874458874438
2026-06-25,sell,159516,1.702,870100,1480910.2,296.18204000000003,,
2026-06-25,buy,588220,2.110211,701400,1480101.9954000001,296.02039908000006,trend,0.007917656373713408
2026-06-29,sell,588220,2.139,701400,1500294.5999999999,300.05892,,
2026-06-29,buy,513520,2.4872487,602900,1499562.2412299998,299.912448246,trend,-0.04625958234205604
2026-06-30,sell,513520,2.517,602900,1517499.3,303.49986,,
2026-06-30,buy,513310,6.687668700000001,226800,1516763.2611600002,303.3526522320001,trend,-0.005474270926644949
2026-07-01,sell,513310,6.473,226800,1468076.4,293.61528,,
2026-07-01,buy,159502,1.6081608,912700,1467768.36216,293.55367243200004,trend,-0.040950040950040366
2026-07-02,sell,159502,1.61,912700,1469447.0,293.8894,,
2026-07-02,buy,159967,0.9630962999999999,1525300,1469010.7863899998,293.802157278,trend,-0.16765285996055238
2026-07-03,sell,159967,0.965,1525300,1471914.5,294.3829,,
2026-07-03,buy,513290,1.7951795,819500,1471149.60025,294.22992005,trend,0.1352657004830915
2026-07-06,sell,513290,1.732,819500,1419374.0,283.8748,,
2026-07-06,buy,513400,1.3581358000000001,1044800,1418980.2838400002,283.796056768,trend,0.05997001499250384
